DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Propia,2. Alquilada,3. Cedida por trabajo,4. Prestada,5. Otra situación,0. __mv__,0. __na__,
0. __tot__,0. __tot__,45618787,31413564,7924358,590998,2918076,2771791,,,
0. __tot__,1. Mujer,22043042,15270543,3808445,240015,1383725,1340314,,,
0. __tot__,2. Mujer trans/travesti,60679,40250,11829,1157,4065,3378,,,
0. __tot__,3. Varón,20562087,14199987,3514756,294380,1323271,1229693,,,
0. __tot__,4. Varón trans/masculinidad trans,72510,44305,17502,1649,4925,4129,,,
0. __tot__,5. No binario,37330,19278,11725,562,3000,2765,,,
0. __tot__,6. Otra identidad/ninguna de las anteriores,26437,14561,7312,510,2073,1981,,,
0. __tot__,7. Prefiero no contestar,69831,36585,18485,885,5993,7883,,,
0. __tot__,9. Ignorado,2746871,1788055,534304,51840,191024,181648,,,
2007. Comuna 1,0. __tot__,221001,95168,102466,6462,8829,8076,,,
2007. Comuna 1,1. Mujer,107202,48425,47933,2711,4204,3929,,,
2007. Comuna 1,2. Mujer trans/travesti,475,118,305,16,17,19,,,
2007. Comuna 1,3. Varón,97107,40803,45801,3211,3907,3385,,,
2007. Comuna 1,4. Varón trans/masculinidad trans,755,236,429,38,30,22,,,
2007. Comuna 1,5. No binario,476,120,300,5,34,17,,,
2007. Comuna 1,6. Otra identidad/ninguna de las anteriores,277,71,169,4,21,12,,,
2007. Comuna 1,7. Prefiero no contestar,671,217,326,19,63,46,,,
2007. Comuna 1,9. Ignorado,14038,5178,7203,458,553,646,,,
2014. Comuna 2,0. __tot__,160609,78836,62285,7240,7450,4798,,,
2014. Comuna 2,1. Mujer,84453,43096,31949,3129,3813,2466,,,
2014. Comuna 2,2. Mujer trans/travesti,187,78,90,7,8,4,,,
2014. Comuna 2,3. Varón,65517,31279,25652,3665,3073,1848,,,
2014. Comuna 2,4. Varón trans/masculinidad trans,324,142,133,21,19,9,,,
2014. Comuna 2,5. No binario,282,82,158,10,21,11,,,
2014. Comuna 2,6. Otra identidad/ninguna de las anteriores,161,53,79,13,7,9,,,
2014. Comuna 2,7. Prefiero no contestar,509,217,207,12,31,42,,,
2014. Comuna 2,9. Ignorado,9176,3889,4017,383,478,409,,,
2021. Comuna 3,0. __tot__,193537,80686,92706,3757,8666,7722,,,
2021. Comuna 3,1. Mujer,97198,42347,45084,1635,4248,3884,,,
2021. Comuna 3,2. Mujer trans/travesti,324,100,191,5,14,14,,,
2021. Comuna 3,3. Varón,83045,33544,40723,1854,3749,3175,,,
2021. Comuna 3,4. Varón trans/masculinidad trans,521,164,312,9,13,23,,,
2021. Comuna 3,5. No binario,438,126,253,4,26,29,,,
2021. Comuna 3,6. Otra identidad/ninguna de las anteriores,242,87,122,1,19,13,,,
2021. Comuna 3,7. Prefiero no contestar,589,246,254,7,41,41,,,
2021. Comuna 3,9. Ignorado,11180,4072,5767,242,556,543,,,
2028. Comuna 4,0. __tot__,227024,124175,75700,1935,10922,14292,,,
2028. Comuna 4,1. Mujer,113953,63484,37198,847,5355,7069,,,
2028. Comuna 4,2. Mujer trans/travesti,257,129,95,3,11,19,,,
2028. Comuna 4,3. Varón,102116,55382,34418,958,4955,6403,,,
2028. Comuna 4,4. Varón trans/masculinidad trans,308,147,111,6,15,29,,,
2028. Comuna 4,5. No binario,237,97,95,3,19,23,,,
2028. Comuna 4,6. Otra identidad/ninguna de las anteriores,120,55,49,,10,6,,,
2028. Comuna 4,7. Prefiero no contestar,445,197,165,1,38,44,,,
2028. Comuna 4,9. Ignorado,9588,4684,3569,117,519,699,,,
2035. Comuna 5,0. __tot__,192449,95935,77035,3400,8571,7508,,,
2035. Comuna 5,1. Mujer,97720,50478,37808,1439,4290,3705,,,
2035. Comuna 5,2. Mujer trans/travesti,309,115,171,7,7,9,,,
2035. Comuna 5,3. Varón,81309,40129,32840,1624,3607,3109,,,
2035. Comuna 5,4. Varón trans/masculinidad trans,456,158,252,17,17,12,,,
2035. Comuna 5,5. No binario,503,177,256,6,33,31,,,
2035. Comuna 5,6. Otra identidad/ninguna de las anteriores,280,95,151,8,14,12,,,
2035. Comuna 5,7. Prefiero no contestar,682,272,302,9,45,54,,,
2035. Comuna 5,9. Ignorado,11190,4511,5255,290,558,576,,,
2042. Comuna 6,0. __tot__,201764,114254,68160,4823,8048,6479,,,
2042. Comuna 6,1. Mujer,101151,58940,32965,2076,3987,3183,,,
2042. Comuna 6,2. Mujer trans/travesti,261,145,96,3,11,6,,,
2042. Comuna 6,3. Varón,83047,46726,28305,2228,3272,2516,,,
2042. Comuna 6,4. Varón trans/masculinidad trans,683,338,270,18,23,34,,,
2042. Comuna 6,5. No binario,409,166,204,4,25,10,,,
2042. Comuna 6,6. Otra identidad/ninguna de las anteriores,333,137,151,8,19,18,,,
2042. Comuna 6,7. Prefiero no contestar,671,279,260,15,46,71,,,
2042. Comuna 6,9. Ignorado,15209,7523,5909,471,665,641,,,
2049. Comuna 7,0. __tot__,213262,120888,70517,3137,9629,9091,,,
2049. Comuna 7,1. Mujer,106508,61772,34120,1352,4723,4541,,,
2049. Comuna 7,2. Mujer trans/travesti,286,135,123,3,15,10,,,
2049. Comuna 7,3. Varón,92874,52327,31007,1512,4196,3832,,,
2049. Comuna 7,4. Varón trans/masculinidad trans,401,181,171,2,24,23,,,
2049. Comuna 7,5. No binario,306,131,138,4,15,18,,,
2049. Comuna 7,6. Otra identidad/ninguna de las anteriores,211,96,90,2,10,13,,,
2049. Comuna 7,7. Prefiero no contestar,588,300,195,3,32,58,,,
2049. Comuna 7,9. Ignorado,12088,5946,4673,259,614,596,,,
2056. Comuna 8,0. __tot__,203888,128989,50850,1277,10602,12170,,,
2056. Comuna 8,1. Mujer,99678,63755,24274,485,5158,6006,,,
2056. Comuna 8,2. Mujer trans/travesti,281,169,85,4,16,7,,,
2056. Comuna 8,3. Varón,90288,57295,22580,508,4691,5214,,,
2056. Comuna 8,4. Varón trans/masculinidad trans,448,241,147,20,21,19,,,
2056. Comuna 8,5. No binario,143,87,34,1,9,12,,,
2056. Comuna 8,6. Otra identidad/ninguna de las anteriores,123,64,33,5,8,13,,,
2056. Comuna 8,7. Prefiero no contestar,271,119,92,2,16,42,,,
2056. Comuna 8,9. Ignorado,12656,7259,3605,252,683,857,,,
2063. Comuna 9,0. __tot__,167908,98665,49896,821,9268,9258,,,
2063. Comuna 9,1. Mujer,83707,50039,24184,335,4539,4610,,,
2063. Comuna 9,2. Mujer trans/travesti,226,127,76,2,11,10,,,
2063. Comuna 9,3. Varón,74943,43801,22457,361,4191,4133,,,
2063. Comuna 9,4. Varón trans/masculinidad trans,301,162,106,2,21,10,,,
2063. Comuna 9,5. No binario,189,99,67,2,11,10,,,
2063. Comuna 9,6. Otra identidad/ninguna de las anteriores,117,56,45,1,9,6,,,
2063. Comuna 9,7. Prefiero no contestar,408,188,141,2,34,43,,,
2063. Comuna 9,9. Ignorado,8017,4193,2820,116,452,436,,,
2070. Comuna 10,0. __tot__,171896,102434,51893,1291,8505,7773,,,
2070. Comuna 10,1. Mujer,86992,52916,25476,544,4258,3798,,,
2070. Comuna 10,2. Mujer trans/travesti,191,105,71,2,8,5,,,
2070. Comuna 10,3. Varón,76213,45134,23332,597,3806,3344,,,
2070. Comuna 10,4. Varón trans/masculinidad trans,308,147,118,12,19,12,,,
2070. Comuna 10,5. No binario,216,101,84,3,20,8,,,
2070. Comuna 10,6. Otra identidad/ninguna de las anteriores,159,79,52,4,14,10,,,
2070. Comuna 10,7. Prefiero no contestar,507,252,159,4,39,53,,,
2070. Comuna 10,9. Ignorado,7310,3700,2601,125,341,543,,,
2077. Comuna 11,0. __tot__,201905,125023,56494,1904,9483,9001,,,
2077. Comuna 11,1. Mujer,100831,63647,27436,767,4604,4377,,,
2077. Comuna 11,2. Mujer trans/travesti,248,143,73,1,11,20,,,
2077. Comuna 11,3. Varón,87305,54151,24573,869,4091,3621,,,
2077. Comuna 11,4. Varón trans/masculinidad trans,467,262,145,8,26,26,,,
2077. Comuna 11,5. No binario,341,151,138,3,29,20,,,
2077. Comuna 11,6. Otra identidad/ninguna de las anteriores,251,135,68,6,22,20,,,
2077. Comuna 11,7. Prefiero no contestar,577,262,205,7,44,59,,,
2077. Comuna 11,9. Ignorado,11885,6272,3856,243,656,858,,,
2084. Comuna 12,0. __tot__,235364,138994,72754,2870,10863,9883,,,
2084. Comuna 12,1. Mujer,117866,71159,35300,1212,5300,4895,,,
2084. Comuna 12,2. Mujer trans/travesti,225,129,65,2,15,14,,,
2084. Comuna 12,3. Varón,102492,60242,31990,1327,4785,4148,,,
2084. Comuna 12,4. Varón trans/masculinidad trans,537,295,187,20,17,18,,,
2084. Comuna 12,5. No binario,443,197,193,4,30,19,,,
2084. Comuna 12,6. Otra identidad/ninguna de las anteriores,252,105,109,3,20,15,,,
2084. Comuna 12,7. Prefiero no contestar,744,370,254,7,40,73,,,
2084. Comuna 12,9. Ignorado,12805,6497,4656,295,656,701,,,
2091. Comuna 13,0. __tot__,262330,149059,87053,7235,11074,7909,,,
2091. Comuna 13,1. Mujer,135259,79123,43218,3138,5575,4205,,,
2091. Comuna 13,2. Mujer trans/travesti,323,171,121,12,15,4,,,
2091. Comuna 13,3. Varón,111297,62087,37855,3546,4701,3108,,,
2091. Comuna 13,4. Varón trans/masculinidad trans,610,321,205,23,39,22,,,
2091. Comuna 13,5. No binario,402,150,202,5,31,14,,,
2091. Comuna 13,6. Otra identidad/ninguna de las anteriores,274,111,129,6,15,13,,,
2091. Comuna 13,7. Prefiero no contestar,856,376,347,13,64,56,,,
2091. Comuna 13,9. Ignorado,13309,6720,4976,492,634,487,,,
2098. Comuna 14,0. __tot__,247252,125784,93011,9508,10842,8107,,,
2098. Comuna 14,1. Mujer,127452,67552,46406,4039,5444,4011,,,
2098. Comuna 14,2. Mujer trans/travesti,363,152,162,11,17,21,,,
2098. Comuna 14,3. Varón,103089,50943,39782,4706,4575,3083,,,
2098. Comuna 14,4. Varón trans/masculinidad trans,516,244,202,21,17,32,,,
2098. Comuna 14,5. No binario,472,149,252,14,32,25,,,
2098. Comuna 14,6. Otra identidad/ninguna de las anteriores,281,98,120,9,25,29,,,
2098. Comuna 14,7. Prefiero no contestar,898,356,352,27,81,82,,,
2098. Comuna 14,9. Ignorado,14181,6290,5735,681,651,824,,,
2105. Comuna 15,0. __tot__,195265,107779,66291,2719,9138,9338,,,
2105. Comuna 15,1. Mujer,98584,55683,32599,1153,4493,4656,,,
2105. Comuna 15,2. Mujer trans/travesti,222,101,87,3,13,18,,,
2105. Comuna 15,3. Varón,85422,46941,29098,1383,4029,3971,,,
2105. Comuna 15,4. Varón trans/masculinidad trans,363,180,141,8,18,16,,,
2105. Comuna 15,5. No binario,549,197,281,7,40,24,,,
2105. Comuna 15,6. Otra identidad/ninguna de las anteriores,194,78,97,2,9,8,,,
2105. Comuna 15,7. Prefiero no contestar,762,340,283,9,56,74,,,
2105. Comuna 15,9. Ignorado,9169,4259,3705,154,480,571,,,
6007. Adolfo Alsina,0. __tot__,17344,12102,2670,845,879,848,,,
6007. Adolfo Alsina,1. Mujer,8405,5935,1313,339,415,403,,,
6007. Adolfo Alsina,2. Mujer trans/travesti,24,15,4,3,2,,,,
6007. Adolfo Alsina,3. Varón,8373,5809,1266,458,438,402,,,
6007. Adolfo Alsina,4. Varón trans/masculinidad trans,5,2,3,,,,,,
6007. Adolfo Alsina,5. No binario,3,,1,2,,,,,
6007. Adolfo Alsina,6. Otra identidad/ninguna de las anteriores,3,1,1,,,1,,,
6007. Adolfo Alsina,7. Prefiero no contestar,27,7,8,5,1,6,,,
6007. Adolfo Alsina,9. Ignorado,504,333,74,38,23,36,,,
6014. Adolfo Gonzales Chaves,0. __tot__,12847,8797,1998,499,817,736,,,
6014. Adolfo Gonzales Chaves,1. Mujer,6211,4306,979,190,367,369,,,
6014. Adolfo Gonzales Chaves,2. Mujer trans/travesti,12,5,4,2,1,,,,
6014. Adolfo Gonzales Chaves,3. Varón,5894,3984,903,289,387,331,,,
6014. Adolfo Gonzales Chaves,4. Varón trans/masculinidad trans,8,5,2,1,,,,,
6014. Adolfo Gonzales Chaves,5. No binario,5,1,,1,,3,,,
6014. Adolfo Gonzales Chaves,6. Otra identidad/ninguna de las anteriores,2,2,,,,,,,
6014. Adolfo Gonzales Chaves,7. Prefiero no contestar,16,5,7,,,4,,,
6014. Adolfo Gonzales Chaves,9. Ignorado,699,489,103,16,62,29,,,
6021. Alberti,0. __tot__,12906,8810,2414,309,745,628,,,
6021. Alberti,1. Mujer,6141,4226,1141,118,332,324,,,
6021. Alberti,2. Mujer trans/travesti,16,11,4,,1,,,,
6021. Alberti,3. Varón,5818,3994,1033,158,364,269,,,
6021. Alberti,4. Varón trans/masculinidad trans,30,19,8,1,1,1,,,
6021. Alberti,5. No binario,19,10,7,,1,1,,,
6021. Alberti,6. Otra identidad/ninguna de las anteriores,19,9,8,,2,,,,
6021. Alberti,7. Prefiero no contestar,24,11,7,,1,5,,,
6021. Alberti,9. Ignorado,839,530,206,32,43,28,,,
6028. Almirante Brown,0. __tot__,583209,435744,60806,1929,38828,45902,,,
6028. Almirante Brown,1. Mujer,282739,211921,29198,809,18638,22173,,,
6028. Almirante Brown,2. Mujer trans/travesti,762,562,99,7,48,46,,,
6028. Almirante Brown,3. Varón,264354,197608,27449,937,17751,20609,,,
6028. Almirante Brown,4. Varón trans/masculinidad trans,977,668,180,8,55,66,,,
6028. Almirante Brown,5. No binario,379,249,57,1,35,37,,,
6028. Almirante Brown,6. Otra identidad/ninguna de las anteriores,188,126,30,1,12,19,,,
6028. Almirante Brown,7. Prefiero no contestar,654,369,100,2,64,119,,,
6028. Almirante Brown,9. Ignorado,33156,24241,3693,164,2225,2833,,,
6035. Avellaneda,0. __tot__,366117,240583,75310,1594,20301,28329,,,
6035. Avellaneda,1. Mujer,183496,121433,37298,717,9983,14065,,,
6035. Avellaneda,2. Mujer trans/travesti,393,239,98,1,18,37,,,
6035. Avellaneda,3. Varón,164996,108225,34122,778,9212,12659,,,
6035. Avellaneda,4. Varón trans/masculinidad trans,421,268,85,2,32,34,,,
6035. Avellaneda,5. No binario,284,143,95,1,24,21,,,
6035. Avellaneda,6. Otra identidad/ninguna de las anteriores,145,81,36,1,12,15,,,
6035. Avellaneda,7. Prefiero no contestar,619,326,157,3,56,77,,,
6035. Avellaneda,9. Ignorado,15763,9868,3419,91,964,1421,,,
6042. Ayacucho,0. __tot__,21757,14051,3555,1773,1365,1013,,,
6042. Ayacucho,1. Mujer,10610,6938,1767,763,665,477,,,
6042. Ayacucho,2. Mujer trans/travesti,30,20,7,2,1,,,,
6042. Ayacucho,3. Varón,10183,6566,1608,916,625,468,,,
6042. Ayacucho,4. Varón trans/masculinidad trans,25,15,3,5,1,1,,,
6042. Ayacucho,5. No binario,17,6,6,,4,1,,,
6042. Ayacucho,6. Otra identidad/ninguna de las anteriores,7,4,1,1,,1,,,
6042. Ayacucho,7. Prefiero no contestar,27,14,8,1,2,2,,,
6042. Ayacucho,9. Ignorado,858,488,155,85,67,63,,,
6049. Azul,0. __tot__,75152,51592,13064,2257,4740,3499,,,
6049. Azul,1. Mujer,36038,25111,6123,891,2199,1714,,,
6049. Azul,2. Mujer trans/travesti,125,78,24,7,11,5,,,
6049. Azul,3. Varón,33753,23145,5697,1172,2195,1544,,,
6049. Azul,4. Varón trans/masculinidad trans,164,108,32,9,12,3,,,
6049. Azul,5. No binario,151,83,52,3,8,5,,,
6049. Azul,6. Otra identidad/ninguna de las anteriores,56,31,17,1,1,6,,,
6049. Azul,7. Prefiero no contestar,108,47,29,2,12,18,,,
6049. Azul,9. Ignorado,4757,2989,1090,172,302,204,,,
6056. Bahía Blanca,0. __tot__,334505,219308,77446,2981,18771,15999,,,
6056. Bahía Blanca,1. Mujer,162504,107240,37347,1150,9020,7747,,,
6056. Bahía Blanca,2. Mujer trans/travesti,308,182,83,6,18,19,,,
6056. Bahía Blanca,3. Varón,150323,99477,34066,1294,8339,7147,,,
6056. Bahía Blanca,4. Varón trans/masculinidad trans,535,311,166,14,26,18,,,
6056. Bahía Blanca,5. No binario,322,157,119,6,23,17,,,
6056. Bahía Blanca,6. Otra identidad/ninguna de las anteriores,158,83,52,1,12,10,,,
6056. Bahía Blanca,7. Prefiero no contestar,523,262,171,4,39,47,,,
6056. Bahía Blanca,9. Ignorado,19832,11596,5442,506,1294,994,,,
6063. Balcarce,0. __tot__,48516,32874,8876,1748,2687,2331,,,
6063. Balcarce,1. Mujer,23483,16092,4277,719,1237,1158,,,
6063. Balcarce,2. Mujer trans/travesti,68,46,15,1,4,2,,,
6063. Balcarce,3. Varón,22344,15114,4023,920,1227,1060,,,
6063. Balcarce,4. Varón trans/masculinidad trans,95,55,29,2,7,2,,,
6063. Balcarce,5. No binario,28,16,7,,4,1,,,
6063. Balcarce,6. Otra identidad/ninguna de las anteriores,17,10,1,,5,1,,,
6063. Balcarce,7. Prefiero no contestar,52,28,11,3,5,5,,,
6063. Balcarce,9. Ignorado,2429,1513,513,103,198,102,,,
6070. Baradero,0. __tot__,39223,27584,6053,994,2545,2047,,,
6070. Baradero,1. Mujer,18466,13127,2786,393,1164,996,,,
6070. Baradero,2. Mujer trans/travesti,85,55,20,4,3,3,,,
6070. Baradero,3. Varón,17645,12544,2702,427,1096,876,,,
6070. Baradero,4. Varón trans/masculinidad trans,206,128,45,13,11,9,,,
6070. Baradero,5. No binario,45,23,8,2,8,4,,,
6070. Baradero,6. Otra identidad/ninguna de las anteriores,45,18,12,5,6,4,,,
6070. Baradero,7. Prefiero no contestar,74,39,22,1,10,2,,,
6070. Baradero,9. Ignorado,2657,1650,458,149,247,153,,,
6077. Arrecifes,0. __tot__,32077,22912,4936,840,1834,1555,,,
6077. Arrecifes,1. Mujer,15957,11534,2415,359,888,761,,,
6077. Arrecifes,2. Mujer trans/travesti,35,23,8,2,1,1,,,
6077. Arrecifes,3. Varón,14900,10566,2290,440,871,733,,,
6077. Arrecifes,4. Varón trans/masculinidad trans,20,15,4,1,,,,,
6077. Arrecifes,5. No binario,6,4,,,1,1,,,
6077. Arrecifes,6. Otra identidad/ninguna de las anteriores,9,6,,,2,1,,,
6077. Arrecifes,7. Prefiero no contestar,37,18,8,1,2,8,,,
6077. Arrecifes,9. Ignorado,1113,746,211,37,69,50,,,
6084. Benito Juárez,0. __tot__,21185,13936,3756,1253,1268,972,,,
6084. Benito Juárez,1. Mujer,10017,6682,1801,485,589,460,,,
6084. Benito Juárez,2. Mujer trans/travesti,40,26,4,4,2,4,,,
6084. Benito Juárez,3. Varón,9618,6301,1665,663,590,399,,,
6084. Benito Juárez,4. Varón trans/masculinidad trans,47,26,14,3,2,2,,,
6084. Benito Juárez,5. No binario,25,20,2,,1,2,,,
6084. Benito Juárez,6. Otra identidad/ninguna de las anteriores,10,9,,1,,,,,
6084. Benito Juárez,7. Prefiero no contestar,28,18,7,,,3,,,
6084. Benito Juárez,9. Ignorado,1400,854,263,97,84,102,,,
6091. Berazategui,0. __tot__,358328,261167,41902,1703,25253,28303,,,
6091. Berazategui,1. Mujer,175246,128168,20417,767,12196,13698,,,
6091. Berazategui,2. Mujer trans/travesti,416,298,54,1,36,27,,,
6091. Berazategui,3. Varón,164439,120111,19141,818,11614,12755,,,
6091. Berazategui,4. Varón trans/masculinidad trans,529,374,80,6,36,33,,,
6091. Berazategui,5. No binario,214,142,32,,22,18,,,
6091. Berazategui,6. Otra identidad/ninguna de las anteriores,105,62,23,2,8,10,,,
6091. Berazategui,7. Prefiero no contestar,502,300,90,2,39,71,,,
6091. Berazategui,9. Ignorado,16877,11712,2065,107,1302,1691,,,
6098. Berisso,0. __tot__,100685,76190,10611,424,5856,7604,,,
6098. Berisso,1. Mujer,49596,37626,5177,204,2879,3710,,,
6098. Berisso,2. Mujer trans/travesti,150,99,29,,9,13,,,
6098. Berisso,3. Varón,45819,34854,4680,196,2633,3456,,,
6098. Berisso,4. Varón trans/masculinidad trans,193,134,32,,10,17,,,
6098. Berisso,5. No binario,88,50,21,,10,7,,,
6098. Berisso,6. Otra identidad/ninguna de las anteriores,48,31,8,,6,3,,,
6098. Berisso,7. Prefiero no contestar,118,68,26,,10,14,,,
6098. Berisso,9. Ignorado,4673,3328,638,24,299,384,,,
6105. Bolívar,0. __tot__,37194,23917,8054,1277,2454,1492,,,
6105. Bolívar,1. Mujer,18176,11778,3990,511,1169,728,,,
6105. Bolívar,2. Mujer trans/travesti,73,46,14,6,5,2,,,
6105. Bolívar,3. Varón,16877,10810,3599,653,1121,694,,,
6105. Bolívar,4. Varón trans/masculinidad trans,123,73,21,15,10,4,,,
6105. Bolívar,5. No binario,27,17,4,4,2,,,,
6105. Bolívar,6. Otra identidad/ninguna de las anteriores,15,11,2,,2,,,,
6105. Bolívar,7. Prefiero no contestar,44,20,16,1,4,3,,,
6105. Bolívar,9. Ignorado,1859,1162,408,87,141,61,,,
6112. Bragado,0. __tot__,46227,32862,7604,589,3047,2125,,,
6112. Bragado,1. Mujer,21756,15624,3523,214,1378,1017,,,
6112. Bragado,2. Mujer trans/travesti,74,52,11,,10,1,,,
6112. Bragado,3. Varón,20413,14544,3303,295,1329,942,,,
6112. Bragado,4. Varón trans/masculinidad trans,145,93,24,3,15,10,,,
6112. Bragado,5. No binario,52,30,11,1,9,1,,,
6112. Bragado,6. Otra identidad/ninguna de las anteriores,48,30,11,3,2,2,,,
6112. Bragado,7. Prefiero no contestar,70,42,13,,8,7,,,
6112. Bragado,9. Ignorado,3669,2447,708,73,296,145,,,
6119. Brandsen,0. __tot__,32350,22795,4897,1153,2071,1434,,,
6119. Brandsen,1. Mujer,15770,11184,2403,468,1041,674,,,
6119. Brandsen,2. Mujer trans/travesti,38,29,3,1,2,3,,,
6119. Brandsen,3. Varón,15166,10673,2290,593,947,663,,,
6119. Brandsen,4. Varón trans/masculinidad trans,39,21,8,6,1,3,,,
6119. Brandsen,5. No binario,16,9,4,,1,2,,,
6119. Brandsen,6. Otra identidad/ninguna de las anteriores,11,6,,,1,4,,,
6119. Brandsen,7. Prefiero no contestar,71,43,11,1,3,13,,,
6119. Brandsen,9. Ignorado,1239,830,178,84,75,72,,,
6126. Campana,0. __tot__,107976,75686,17980,1033,7118,6159,,,
6126. Campana,1. Mujer,52735,37145,8674,440,3443,3033,,,
6126. Campana,2. Mujer trans/travesti,139,99,24,2,7,7,,,
6126. Campana,3. Varón,50829,35596,8537,529,3367,2800,,,
6126. Campana,4. Varón trans/masculinidad trans,140,85,41,3,5,6,,,
6126. Campana,5. No binario,48,31,8,1,3,5,,,
6126. Campana,6. Otra identidad/ninguna de las anteriores,33,17,7,,4,5,,,
6126. Campana,7. Prefiero no contestar,126,73,25,,12,16,,,
6126. Campana,9. Ignorado,3926,2640,664,58,277,287,,,
6134. Cañuelas,0. __tot__,70542,52442,8815,1555,4274,3456,,,
6134. Cañuelas,1. Mujer,34291,25610,4339,651,2011,1680,,,
6134. Cañuelas,2. Mujer trans/travesti,84,61,8,5,5,5,,,
6134. Cañuelas,3. Varón,33187,24701,4040,835,1991,1620,,,
6134. Cañuelas,4. Varón trans/masculinidad trans,58,39,12,1,5,1,,,
6134. Cañuelas,5. No binario,39,27,8,1,2,1,,,
6134. Cañuelas,6. Otra identidad/ninguna de las anteriores,31,24,4,1,2,,,,
6134. Cañuelas,7. Prefiero no contestar,69,36,10,,12,11,,,
6134. Cañuelas,9. Ignorado,2783,1944,394,61,246,138,,,
6140. Capitán Sarmiento,0. __tot__,15882,10431,3218,581,917,735,,,
6140. Capitán Sarmiento,1. Mujer,7899,5247,1614,249,435,354,,,
6140. Capitán Sarmiento,2. Mujer trans/travesti,21,11,2,7,,1,,,
6140. Capitán Sarmiento,3. Varón,7405,4828,1500,306,433,338,,,
6140. Capitán Sarmiento,4. Varón trans/masculinidad trans,13,7,5,1,,,,,
6140. Capitán Sarmiento,5. No binario,7,5,1,,1,,,,
6140. Capitán Sarmiento,6. Otra identidad/ninguna de las anteriores,4,1,2,,1,,,,
6140. Capitán Sarmiento,7. Prefiero no contestar,11,3,4,,1,3,,,
6140. Capitán Sarmiento,9. Ignorado,522,329,90,18,46,39,,,
6147. Carlos Casares,0. __tot__,22905,15587,3643,982,1585,1108,,,
6147. Carlos Casares,1. Mujer,11421,7883,1830,392,777,539,,,
6147. Carlos Casares,2. Mujer trans/travesti,18,13,4,,1,,,,
6147. Carlos Casares,3. Varón,10885,7333,1720,553,771,508,,,
6147. Carlos Casares,4. Varón trans/masculinidad trans,15,14,1,,,,,,
6147. Carlos Casares,5. No binario,7,5,1,,1,,,,
6147. Carlos Casares,6. Otra identidad/ninguna de las anteriores,4,2,1,1,,,,,
6147. Carlos Casares,7. Prefiero no contestar,15,8,1,1,3,2,,,
6147. Carlos Casares,9. Ignorado,540,329,85,35,32,59,,,
6154. Carlos Tejedor,0. __tot__,14007,8792,2311,1111,1076,717,,,
6154. Carlos Tejedor,1. Mujer,5914,3858,959,383,422,292,,,
6154. Carlos Tejedor,2. Mujer trans/travesti,71,43,12,11,4,1,,,
6154. Carlos Tejedor,3. Varón,5890,3773,894,453,461,309,,,
6154. Carlos Tejedor,4. Varón trans/masculinidad trans,128,68,23,18,13,6,,,
6154. Carlos Tejedor,5. No binario,23,11,4,3,3,2,,,
6154. Carlos Tejedor,6. Otra identidad/ninguna de las anteriores,17,6,6,,3,2,,,
6154. Carlos Tejedor,7. Prefiero no contestar,23,14,6,1,1,1,,,
6154. Carlos Tejedor,9. Ignorado,1941,1019,407,242,169,104,,,
6161. Carmen de Areco,0. __tot__,17345,11689,3084,825,960,787,,,
6161. Carmen de Areco,1. Mujer,8312,5629,1501,337,469,376,,,
6161. Carmen de Areco,2. Mujer trans/travesti,32,23,8,,,1,,,
6161. Carmen de Areco,3. Varón,8142,5470,1425,452,441,354,,,
6161. Carmen de Areco,4. Varón trans/masculinidad trans,25,13,4,4,2,2,,,
6161. Carmen de Areco,5. No binario,7,5,,,2,,,,
6161. Carmen de Areco,6. Otra identidad/ninguna de las anteriores,10,8,,,1,1,,,
6161. Carmen de Areco,7. Prefiero no contestar,17,11,3,1,,2,,,
6161. Carmen de Areco,9. Ignorado,800,530,143,31,45,51,,,
6168. Castelli,0. __tot__,9551,6035,1656,690,736,434,,,
6168. Castelli,1. Mujer,4525,2919,771,278,347,210,,,
6168. Castelli,2. Mujer trans/travesti,11,8,,2,,1,,,
6168. Castelli,3. Varón,4378,2777,727,369,313,192,,,
6168. Castelli,4. Varón trans/masculinidad trans,20,9,4,4,3,,,,
6168. Castelli,5. No binario,2,1,,,,1,,,
6168. Castelli,6. Otra identidad/ninguna de las anteriores,1,1,,,,,,,
6168. Castelli,7. Prefiero no contestar,15,8,7,,,,,,
6168. Castelli,9. Ignorado,599,312,147,37,73,30,,,
6175. Colón,0. __tot__,27406,20271,3671,404,1538,1522,,,
6175. Colón,1. Mujer,13198,9801,1774,161,706,756,,,
6175. Colón,2. Mujer trans/travesti,46,34,8,,3,1,,,
6175. Colón,3. Varón,12504,9242,1658,214,721,669,,,
6175. Colón,4. Varón trans/masculinidad trans,51,36,7,1,2,5,,,
6175. Colón,5. No binario,5,5,,,,,,,
6175. Colón,6. Otra identidad/ninguna de las anteriores,29,22,1,2,3,1,,,
6175. Colón,7. Prefiero no contestar,29,16,10,1,2,,,,
6175. Colón,9. Ignorado,1544,1115,213,25,101,90,,,
6182. Coronel de Marina Leonardo Rosales,0. __tot__,65823,39066,17899,1033,3455,4370,,,
6182. Coronel de Marina Leonardo Rosales,1. Mujer,31748,19131,8398,446,1661,2112,,,
6182. Coronel de Marina Leonardo Rosales,2. Mujer trans/travesti,85,55,25,,3,2,,,
