DPTO.REDCODEN (Departamento),VIVIENDA.URP (Área urbano rural),0. __tot__,1. Mujer,2. Mujer trans/travesti,3. Varón,4. Varón trans/masculinidad trans,5. No binario,6. Otra identidad/ninguna de las anteriores,7. Prefiero no contestar,9. Ignorado,0. __mv__,0. __na__,
6077. Arrecifes,3. Rural dispersa,1165,492,2,605,,,,1,65,,,
6084. Benito Juárez,0. __tot__,21185,10017,40,9618,47,25,10,28,1400,,,
6084. Benito Juárez,1. Urbana,19007,9109,30,8525,42,24,9,27,1241,,,
6084. Benito Juárez,2. Rural agrupada,316,149,2,160,,,,,5,,,
6084. Benito Juárez,3. Rural dispersa,1862,759,8,933,5,1,1,1,154,,,
6091. Berazategui,0. __tot__,358328,175246,416,164439,529,214,105,502,16877,,,
6091. Berazategui,1. Urbana,358328,175246,416,164439,529,214,105,502,16877,,,
6098. Berisso,0. __tot__,100685,49596,150,45819,193,88,48,118,4673,,,
6098. Berisso,1. Urbana,99943,49257,149,45469,192,88,46,116,4626,,,
6098. Berisso,3. Rural dispersa,742,339,1,350,1,,2,2,47,,,
6105. Bolívar,0. __tot__,37194,18176,73,16877,123,27,15,44,1859,,,
6105. Bolívar,1. Urbana,31618,15800,53,14325,83,19,11,37,1290,,,
6105. Bolívar,2. Rural agrupada,3138,1422,9,1411,7,2,,3,284,,,
6105. Bolívar,3. Rural dispersa,2438,954,11,1141,33,6,4,4,285,,,
6112. Bragado,0. __tot__,46227,21756,74,20413,145,52,48,70,3669,,,
6112. Bragado,1. Urbana,41772,19889,62,18403,111,40,34,56,3177,,,
6112. Bragado,2. Rural agrupada,3085,1330,8,1378,25,5,7,12,320,,,
6112. Bragado,3. Rural dispersa,1370,537,4,632,9,7,7,2,172,,,
6119. Brandsen,0. __tot__,32350,15770,38,15166,39,16,11,71,1239,,,
6119. Brandsen,1. Urbana,27280,13489,30,12647,24,16,9,66,999,,,
6119. Brandsen,2. Rural agrupada,3502,1603,5,1720,9,,2,4,159,,,
6119. Brandsen,3. Rural dispersa,1568,678,3,799,6,,,1,81,,,
6126. Campana,0. __tot__,107976,52735,139,50829,140,48,33,126,3926,,,
6126. Campana,1. Urbana,104235,51001,133,48946,134,47,33,126,3815,,,
6126. Campana,2. Rural agrupada,1776,843,1,876,4,,,,52,,,
6126. Campana,3. Rural dispersa,1965,891,5,1007,2,1,,,59,,,
6134. Cañuelas,0. __tot__,70542,34291,84,33187,58,39,31,69,2783,,,
6134. Cañuelas,1. Urbana,64528,31496,71,30224,55,35,27,58,2562,,,
6134. Cañuelas,2. Rural agrupada,2553,1247,6,1207,2,2,1,3,85,,,
6134. Cañuelas,3. Rural dispersa,3461,1548,7,1756,1,2,3,8,136,,,
6140. Capitán Sarmiento,0. __tot__,15882,7899,21,7405,13,7,4,11,522,,,
6140. Capitán Sarmiento,1. Urbana,14887,7463,13,6898,12,7,4,11,479,,,
6140. Capitán Sarmiento,2. Rural agrupada,263,120,1,129,,,,,13,,,
6140. Capitán Sarmiento,3. Rural dispersa,732,316,7,378,1,,,,30,,,
6147. Carlos Casares,0. __tot__,22905,11421,18,10885,15,7,4,15,540,,,
6147. Carlos Casares,1. Urbana,19397,9847,16,9027,14,7,3,14,469,,,
6147. Carlos Casares,2. Rural agrupada,2202,1030,2,1134,1,,,1,34,,,
6147. Carlos Casares,3. Rural dispersa,1306,544,,724,,,1,,37,,,
6154. Carlos Tejedor,0. __tot__,14007,5914,71,5890,128,23,17,23,1941,,,
6154. Carlos Tejedor,1. Urbana,10679,4615,50,4484,93,12,11,21,1393,,,
6154. Carlos Tejedor,2. Rural agrupada,1934,793,9,803,15,4,4,1,305,,,
6154. Carlos Tejedor,3. Rural dispersa,1394,506,12,603,20,7,2,1,243,,,
6161. Carmen de Areco,0. __tot__,17345,8312,32,8142,25,7,10,17,800,,,
6161. Carmen de Areco,1. Urbana,15900,7682,32,7399,20,7,10,16,734,,,
6161. Carmen de Areco,2. Rural agrupada,593,286,,287,,,,,20,,,
6161. Carmen de Areco,3. Rural dispersa,852,344,,456,5,,,1,46,,,
6168. Castelli,0. __tot__,9551,4525,11,4378,20,2,1,15,599,,,
6168. Castelli,1. Urbana,7935,3844,7,3575,13,2,,13,481,,,
6168. Castelli,2. Rural agrupada,330,138,1,170,1,,1,,19,,,
6168. Castelli,3. Rural dispersa,1286,543,3,633,6,,,2,99,,,
6175. Colón,0. __tot__,27406,13198,46,12504,51,5,29,29,1544,,,
6175. Colón,1. Urbana,26067,12609,44,11864,46,4,23,25,1452,,,
6175. Colón,2. Rural agrupada,596,277,1,270,2,1,4,1,40,,,
6175. Colón,3. Rural dispersa,743,312,1,370,3,,2,3,52,,,
6182. Coronel de Marina Leonardo Rosales,0. __tot__,65823,31748,85,29604,140,105,49,122,3970,,,
6182. Coronel de Marina Leonardo Rosales,1. Urbana,64244,31009,83,28857,137,104,49,119,3886,,,
6182. Coronel de Marina Leonardo Rosales,2. Rural agrupada,1072,497,,495,3,1,,2,74,,,
6182. Coronel de Marina Leonardo Rosales,3. Rural dispersa,507,242,2,252,,,,1,10,,,
6189. Coronel Dorrego,0. __tot__,15795,7775,22,7415,9,7,9,29,529,,,
6189. Coronel Dorrego,1. Urbana,11850,5962,16,5444,9,3,8,22,386,,,
6189. Coronel Dorrego,2. Rural agrupada,2969,1405,6,1437,,3,,7,111,,,
6189. Coronel Dorrego,3. Rural dispersa,976,408,,534,,1,1,,32,,,
6196. Coronel Pringles,0. __tot__,24110,11756,29,10896,38,32,7,30,1322,,,
6196. Coronel Pringles,1. Urbana,21555,10698,18,9737,31,26,4,25,1016,,,
6196. Coronel Pringles,2. Rural agrupada,1167,567,,554,,,,3,43,,,
6196. Coronel Pringles,3. Rural dispersa,1388,491,11,605,7,6,3,2,263,,,
6203. Coronel Suárez,0. __tot__,41713,20518,48,19510,34,18,16,48,1521,,,
6203. Coronel Suárez,1. Urbana,37423,18551,47,17353,33,16,13,37,1373,,,
6203. Coronel Suárez,2. Rural agrupada,2721,1281,1,1354,1,1,2,8,73,,,
6203. Coronel Suárez,3. Rural dispersa,1569,686,,803,,1,1,3,75,,,
6210. Chacabuco,0. __tot__,52409,25818,81,24359,33,22,10,52,2034,,,
6210. Chacabuco,1. Urbana,46440,22955,66,21361,31,21,9,43,1954,,,
6210. Chacabuco,2. Rural agrupada,3480,1764,7,1660,,,1,9,39,,,
6210. Chacabuco,3. Rural dispersa,2489,1099,8,1338,2,1,,,41,,,
6218. Chascomús,0. __tot__,42191,20886,48,19830,37,21,11,81,1277,,,
6218. Chascomús,1. Urbana,39947,19866,45,18657,36,20,11,79,1233,,,
6218. Chascomús,2. Rural agrupada,696,322,1,362,1,1,,1,8,,,
6218. Chascomús,3. Rural dispersa,1548,698,2,811,,,,1,36,,,
6224. Chivilcoy,0. __tot__,70554,34880,114,31959,91,42,14,84,3370,,,
6224. Chivilcoy,1. Urbana,67979,33764,103,30726,81,40,14,79,3172,,,
6224. Chivilcoy,2. Rural agrupada,919,410,7,427,4,,,,71,,,
6224. Chivilcoy,3. Rural dispersa,1656,706,4,806,6,2,,5,127,,,
6231. Daireaux,0. __tot__,18328,8421,45,8209,112,16,7,18,1500,,,
6231. Daireaux,1. Urbana,16272,7540,43,7135,101,12,7,17,1417,,,
6231. Daireaux,2. Rural agrupada,792,355,,390,,1,,1,45,,,
6231. Daireaux,3. Rural dispersa,1264,526,2,684,11,3,,,38,,,
6238. Dolores,0. __tot__,31405,14996,45,13890,129,14,9,41,2281,,,
6238. Dolores,1. Urbana,30372,14641,37,13459,106,13,7,35,2074,,,
6238. Dolores,2. Rural agrupada,392,155,4,170,6,,,,57,,,
6238. Dolores,3. Rural dispersa,641,200,4,261,17,1,2,6,150,,,
6245. Ensenada,0. __tot__,63978,31588,76,29841,51,40,18,83,2281,,,
6245. Ensenada,1. Urbana,63978,31588,76,29841,51,40,18,83,2281,,,
6252. Escobar,0. __tot__,256071,122235,269,118318,368,159,122,394,14206,,,
6252. Escobar,1. Urbana,254682,121564,263,117641,366,157,122,394,14175,,,
6252. Escobar,2. Rural agrupada,179,86,,90,,,,,3,,,
6252. Escobar,3. Rural dispersa,1210,585,6,587,2,2,,,28,,,
6260. Esteban Echeverría,0. __tot__,337880,164055,436,155041,476,205,104,424,17139,,,
6260. Esteban Echeverría,1. Urbana,337880,164055,436,155041,476,205,104,424,17139,,,
6266. Exaltación de la Cruz,0. __tot__,40036,19063,60,18555,201,49,25,49,2034,,,
6266. Exaltación de la Cruz,1. Urbana,37004,17683,55,17030,194,48,24,48,1922,,,
6266. Exaltación de la Cruz,2. Rural agrupada,1126,525,3,555,6,1,1,,35,,,
6266. Exaltación de la Cruz,3. Rural dispersa,1906,855,2,970,1,,,1,77,,,
6270. Ezeiza,0. __tot__,198620,95631,296,91470,275,103,51,208,10586,,,
6270. Ezeiza,1. Urbana,198620,95631,296,91470,275,103,51,208,10586,,,
6274. Florencio Varela,0. __tot__,488103,233225,668,224612,715,281,162,522,27918,,,
6274. Florencio Varela,1. Urbana,488103,233225,668,224612,715,281,162,522,27918,,,
6277. Florentino Ameghino,0. __tot__,10759,4733,27,4593,74,31,14,20,1267,,,
6277. Florentino Ameghino,1. Urbana,9099,4066,25,3837,65,24,13,19,1050,,,
6277. Florentino Ameghino,2. Rural agrupada,1002,435,,456,6,4,1,,100,,,
6277. Florentino Ameghino,3. Rural dispersa,658,232,2,300,3,3,,1,117,,,
6280. General Alvarado,0. __tot__,45307,22113,51,20882,60,30,14,65,2092,,,
6280. General Alvarado,1. Urbana,41371,20334,47,18973,57,26,10,60,1864,,,
6280. General Alvarado,2. Rural agrupada,2229,1049,2,1037,1,4,3,1,132,,,
6280. General Alvarado,3. Rural dispersa,1707,730,2,872,2,,1,4,96,,,
6287. General Alvear,0. __tot__,10150,4997,6,4870,5,3,,4,265,,,
6287. General Alvear,1. Urbana,9209,4613,6,4332,4,2,,4,248,,,
6287. General Alvear,3. Rural dispersa,941,384,,538,1,1,,,17,,,
6294. General Arenales,0. __tot__,16231,7801,35,7457,44,9,8,17,860,,,
6294. General Arenales,1. Urbana,15322,7452,30,7030,32,8,8,15,747,,,
6294. General Arenales,2. Rural agrupada,412,143,4,164,12,1,,1,87,,,
6294. General Arenales,3. Rural dispersa,497,206,1,263,,,,1,26,,,
6301. General Belgrano,0. __tot__,20674,10122,25,9432,42,13,10,28,1002,,,
6301. General Belgrano,1. Urbana,19056,9400,22,8591,40,13,10,28,952,,,
6301. General Belgrano,2. Rural agrupada,431,207,1,210,,,,,13,,,
6301. General Belgrano,3. Rural dispersa,1187,515,2,631,2,,,,37,,,
6308. General Guido,0. __tot__,3157,1404,4,1436,9,,1,3,300,,,
6308. General Guido,2. Rural agrupada,2646,1235,1,1181,8,,1,3,217,,,
6308. General Guido,3. Rural dispersa,511,169,3,255,1,,,,83,,,
6315. General Juan Madariaga,0. __tot__,22566,11205,24,10375,24,9,5,28,896,,,
6315. General Juan Madariaga,1. Urbana,21461,10758,23,9792,23,8,4,25,828,,,
6315. General Juan Madariaga,2. Rural agrupada,83,35,,46,,,1,,1,,,
6315. General Juan Madariaga,3. Rural dispersa,1022,412,1,537,1,1,,3,67,,,
6322. General La Madrid,0. __tot__,11535,5680,7,5461,2,5,,18,362,,,
6322. General La Madrid,1. Urbana,9400,4727,4,4350,2,4,,17,296,,,
6322. General La Madrid,2. Rural agrupada,1153,563,,567,,1,,,22,,,
6322. General La Madrid,3. Rural dispersa,982,390,3,544,,,,1,44,,,
6329. General Las Heras,0. __tot__,17980,8592,17,8187,79,14,7,18,1066,,,
6329. General Las Heras,1. Urbana,14155,6909,11,6449,50,12,4,11,709,,,
6329. General Las Heras,2. Rural agrupada,2121,913,3,934,20,2,1,5,243,,,
6329. General Las Heras,3. Rural dispersa,1704,770,3,804,9,,2,2,114,,,
6336. General Lavalle,0. __tot__,4846,2336,4,2242,1,,2,5,256,,,
6336. General Lavalle,1. Urbana,2445,1198,2,1093,1,,1,,150,,,
6336. General Lavalle,2. Rural agrupada,1637,797,2,769,,,1,4,64,,,
6336. General Lavalle,3. Rural dispersa,764,341,,380,,,,1,42,,,
6343. General Paz,0. __tot__,14141,6869,17,6636,22,8,4,10,575,,,
6343. General Paz,1. Urbana,10674,5242,9,4934,15,6,2,10,456,,,
6343. General Paz,2. Rural agrupada,1800,905,4,845,3,1,2,,40,,,
6343. General Paz,3. Rural dispersa,1667,722,4,857,4,1,,,79,,,
6351. General Pinto,0. __tot__,12842,5926,15,5702,60,6,15,14,1104,,,
6351. General Pinto,1. Urbana,8002,3801,9,3530,31,3,7,10,611,,,
6351. General Pinto,2. Rural agrupada,3806,1731,2,1702,21,1,5,3,341,,,
6351. General Pinto,3. Rural dispersa,1034,394,4,470,8,2,3,1,152,,,
6357. General Pueyrredón,0. __tot__,660569,327949,833,295771,921,620,268,1139,33068,,,
6357. General Pueyrredón,1. Urbana,655226,325500,822,293149,918,618,266,1130,32823,,,
6357. General Pueyrredón,2. Rural agrupada,2270,1074,5,1105,3,1,2,7,73,,,
6357. General Pueyrredón,3. Rural dispersa,3073,1375,6,1517,,1,,2,172,,,
6364. General Rodríguez,0. __tot__,142315,67967,183,66317,334,85,50,157,7222,,,
6364. General Rodríguez,1. Urbana,141090,67416,180,65715,329,84,50,156,7160,,,
6364. General Rodríguez,2. Rural agrupada,614,292,2,292,1,1,,1,25,,,
6364. General Rodríguez,3. Rural dispersa,611,259,1,310,4,,,,37,,,
6371. General San Martín,0. __tot__,444503,219528,625,200801,544,380,171,666,21788,,,
6371. General San Martín,1. Urbana,444503,219528,625,200801,544,380,171,666,21788,,,
6385. General Viamonte,0. __tot__,22530,9424,90,8933,219,102,37,42,3683,,,
6385. General Viamonte,1. Urbana,20585,8826,69,8263,183,82,32,36,3094,,,
6385. General Viamonte,2. Rural agrupada,620,242,2,239,10,7,,,120,,,
6385. General Viamonte,3. Rural dispersa,1325,356,19,431,26,13,5,6,469,,,
6392. General Villegas,0. __tot__,35055,15854,69,15566,155,20,57,48,3286,,,
6392. General Villegas,1. Urbana,27612,12687,50,12220,115,15,42,39,2444,,,
6392. General Villegas,2. Rural agrupada,5215,2397,11,2362,15,1,5,2,422,,,
6392. General Villegas,3. Rural dispersa,2228,770,8,984,25,4,10,7,420,,,
6399. Guaminí,0. __tot__,11662,5685,12,5615,5,3,3,8,331,,,
6399. Guaminí,1. Urbana,7889,3906,10,3747,3,3,3,7,210,,,
6399. Guaminí,2. Rural agrupada,2736,1335,2,1314,1,,,1,83,,,
6399. Guaminí,3. Rural dispersa,1037,444,,554,1,,,,38,,,
6406. Hipólito Yrigoyen,0. __tot__,10581,4801,20,4670,29,10,16,23,1012,,,
6406. Hipólito Yrigoyen,1. Urbana,9781,4527,17,4276,25,9,14,21,892,,,
6406. Hipólito Yrigoyen,2. Rural agrupada,99,43,,55,,,,,1,,,
6406. Hipólito Yrigoyen,3. Rural dispersa,701,231,3,339,4,1,2,2,119,,,
6408. Hurlingham,0. __tot__,185361,91357,207,84554,209,168,74,240,8552,,,
6408. Hurlingham,1. Urbana,185361,91357,207,84554,209,168,74,240,8552,,,
6410. Ituzaingó,0. __tot__,177983,88275,272,81200,355,154,75,341,7311,,,
6410. Ituzaingó,1. Urbana,177983,88275,272,81200,355,154,75,341,7311,,,
6412. José C. Paz,0. __tot__,326527,155527,470,148459,692,212,143,349,20675,,,
6412. José C. Paz,1. Urbana,326527,155527,470,148459,692,212,143,349,20675,,,
6413. Junín,0. __tot__,100964,48779,140,44950,177,98,55,123,6642,,,
6413. Junín,1. Urbana,95385,46551,116,42615,119,76,39,111,5758,,,
