DPTO.REDCODEN (Departamento),VIVIENDA.URP (Área urbano rural),0. __tot__,1. Mujer,2. Mujer trans/travesti,3. Varón,4. Varón trans/masculinidad trans,5. No binario,6. Otra identidad/ninguna de las anteriores,7. Prefiero no contestar,9. Ignorado,0. __mv__,0. __na__,
6525. Marcos Paz,3. Rural dispersa,1469,657,4,728,3,,,1,76,,,
6532. Mercedes,0. __tot__,71002,34527,134,32165,142,42,28,98,3866,,,
6532. Mercedes,1. Urbana,67252,33071,95,30589,106,34,19,92,3246,,,
6532. Mercedes,2. Rural agrupada,396,163,5,145,7,,1,,75,,,
6532. Mercedes,3. Rural dispersa,3354,1293,34,1431,29,8,8,6,545,,,
6539. Merlo,0. __tot__,581484,282359,753,267214,1086,378,190,613,28891,,,
6539. Merlo,1. Urbana,581484,282359,753,267214,1086,378,190,613,28891,,,
6547. Monte,0. __tot__,24616,11720,47,11208,80,19,10,26,1506,,,
6547. Monte,1. Urbana,21794,10414,41,9772,76,18,10,23,1440,,,
6547. Monte,2. Rural agrupada,793,378,2,398,2,,,,13,,,
6547. Monte,3. Rural dispersa,2029,928,4,1038,2,1,,3,53,,,
6553. Monte Hermoso,0. __tot__,8444,4022,13,3989,7,11,4,10,388,,,
6553. Monte Hermoso,1. Urbana,7844,3765,13,3674,5,10,4,9,364,,,
6553. Monte Hermoso,2. Rural agrupada,490,209,,257,1,,,,23,,,
6553. Monte Hermoso,3. Rural dispersa,110,48,,58,1,1,,1,1,,,
6560. Moreno,0. __tot__,575758,276222,863,264474,1399,453,219,630,31498,,,
6560. Moreno,1. Urbana,575758,276222,863,264474,1399,453,219,630,31498,,,
6568. Morón,0. __tot__,329517,165219,379,149504,490,359,154,712,12700,,,
6568. Morón,1. Urbana,329517,165219,379,149504,490,359,154,712,12700,,,
6574. Navarro,0. __tot__,19888,9539,21,9242,40,12,13,22,999,,,
6574. Navarro,1. Urbana,16649,8088,14,7644,29,9,10,19,836,,,
6574. Navarro,2. Rural agrupada,1377,627,4,637,7,1,3,3,95,,,
6574. Navarro,3. Rural dispersa,1862,824,3,961,4,2,,,68,,,
6581. Necochea,0. __tot__,101483,49778,114,45518,118,80,46,155,5674,,,
6581. Necochea,1. Urbana,98965,48666,111,44267,117,80,40,154,5530,,,
6581. Necochea,2. Rural agrupada,1181,545,,574,,,,1,61,,,
6581. Necochea,3. Rural dispersa,1337,567,3,677,1,,6,,83,,,
6588. 9 de Julio,0. __tot__,52366,25602,131,23914,71,23,20,66,2539,,,
6588. 9 de Julio,1. Urbana,45022,22195,113,20250,66,18,17,57,2306,,,
6588. 9 de Julio,2. Rural agrupada,5154,2515,11,2520,3,,2,5,98,,,
6588. 9 de Julio,3. Rural dispersa,2190,892,7,1144,2,5,1,4,135,,,
6595. Olavarría,0. __tot__,122011,59562,138,55807,196,175,76,180,5877,,,
6595. Olavarría,1. Urbana,118014,57839,126,53812,191,174,75,174,5623,,,
6595. Olavarría,2. Rural agrupada,1343,610,2,596,3,,,1,131,,,
6595. Olavarría,3. Rural dispersa,2654,1113,10,1399,2,1,1,5,123,,,
6602. Patagones,0. __tot__,37499,18238,45,17748,36,23,7,59,1343,,,
6602. Patagones,1. Urbana,34086,16755,39,15998,34,23,7,54,1176,,,
6602. Patagones,2. Rural agrupada,2128,988,2,1043,,,,3,92,,,
6602. Patagones,3. Rural dispersa,1285,495,4,707,2,,,2,75,,,
6609. Pehuajó,0. __tot__,44594,20701,64,19074,189,41,112,132,4281,,,
6609. Pehuajó,1. Urbana,38495,18033,56,16287,157,39,93,121,3709,,,
6609. Pehuajó,2. Rural agrupada,4497,2074,4,2016,22,1,7,3,370,,,
6609. Pehuajó,3. Rural dispersa,1602,594,4,771,10,1,12,8,202,,,
6616. Pellegrini,0. __tot__,7112,3270,5,3190,20,3,8,3,613,,,
6616. Pellegrini,1. Urbana,6213,2937,4,2827,8,2,8,3,424,,,
6616. Pellegrini,2. Rural agrupada,415,157,1,166,7,,,,84,,,
6616. Pellegrini,3. Rural dispersa,484,176,,197,5,1,,,105,,,
6623. Pergamino,0. __tot__,114988,56063,152,51653,189,81,62,130,6658,,,
6623. Pergamino,1. Urbana,102182,50024,136,45667,179,77,59,117,5923,,,
6623. Pergamino,2. Rural agrupada,10206,4901,9,4703,7,4,2,12,568,,,
6623. Pergamino,3. Rural dispersa,2600,1138,7,1283,3,,1,1,167,,,
6630. Pila,0. __tot__,4615,2235,4,2185,2,2,2,5,180,,,
6630. Pila,1. Urbana,3594,1804,2,1637,1,1,2,5,142,,,
6630. Pila,2. Rural agrupada,77,36,,40,,,,,1,,,
6630. Pila,3. Rural dispersa,944,395,2,508,1,1,,,37,,,
6638. Pilar,0. __tot__,393614,186662,576,180496,705,227,194,584,24170,,,
6638. Pilar,1. Urbana,393614,186662,576,180496,705,227,194,584,24170,,,
6644. Pinamar,0. __tot__,39224,17927,60,17757,109,16,14,70,3271,,,
6644. Pinamar,1. Urbana,39218,17925,60,17753,109,16,14,70,3271,,,
6644. Pinamar,2. Rural agrupada,2,,,2,,,,,,,,
6644. Pinamar,3. Rural dispersa,4,2,,2,,,,,,,,
6648. Presidente Perón,0. __tot__,101994,48933,173,47146,127,61,25,82,5447,,,
6648. Presidente Perón,1. Urbana,101994,48933,173,47146,127,61,25,82,5447,,,
6651. Puan,0. __tot__,16391,7789,12,7555,31,2,4,18,980,,,
6651. Puan,1. Urbana,11604,5574,11,5208,20,2,4,9,776,,,
6651. Puan,2. Rural agrupada,3737,1820,1,1756,9,,,9,142,,,
6651. Puan,3. Rural dispersa,1050,395,,591,2,,,,62,,,
6655. Punta Indio,0. __tot__,12161,5828,11,5691,10,4,3,20,594,,,
6655. Punta Indio,1. Urbana,8541,4200,4,3917,5,2,3,12,398,,,
6655. Punta Indio,2. Rural agrupada,2488,1135,3,1197,5,2,,7,139,,,
6655. Punta Indio,3. Rural dispersa,1132,493,4,577,,,,1,57,,,
6658. Quilmes,0. __tot__,631774,309407,822,286938,902,453,266,956,32030,,,
6658. Quilmes,1. Urbana,631774,309407,822,286938,902,453,266,956,32030,,,
6665. Ramallo,0. __tot__,39648,19103,62,18426,126,24,10,37,1860,,,
6665. Ramallo,1. Urbana,37764,18261,57,17527,119,23,9,36,1732,,,
6665. Ramallo,2. Rural agrupada,502,259,,211,,,,,32,,,
6665. Ramallo,3. Rural dispersa,1382,583,5,688,7,1,1,1,96,,,
6672. Rauch,0. __tot__,16491,7928,30,7746,20,6,3,25,733,,,
6672. Rauch,1. Urbana,14793,7256,24,6844,18,6,3,22,620,,,
6672. Rauch,2. Rural agrupada,92,43,,46,,,,,3,,,
6672. Rauch,3. Rural dispersa,1606,629,6,856,2,,,3,110,,,
6679. Rivadavia,0. __tot__,19735,9179,32,9096,85,18,10,18,1297,,,
6679. Rivadavia,1. Urbana,15749,7574,21,7316,50,7,5,10,766,,,
6679. Rivadavia,2. Rural agrupada,2294,1045,4,1068,15,5,1,3,153,,,
6679. Rivadavia,3. Rural dispersa,1692,560,7,712,20,6,4,5,378,,,
6686. Rojas,0. __tot__,25619,12511,33,11756,39,10,13,28,1229,,,
6686. Rojas,1. Urbana,22106,10918,28,10110,34,8,7,26,975,,,
6686. Rojas,2. Rural agrupada,2261,1073,4,1037,3,2,2,1,139,,,
6686. Rojas,3. Rural dispersa,1252,520,1,609,2,,4,1,115,,,
6693. Roque Pérez,0. __tot__,13901,6873,18,6589,9,4,2,15,391,,,
6693. Roque Pérez,1. Urbana,12273,6136,15,5746,8,4,2,15,347,,,
6693. Roque Pérez,2. Rural agrupada,347,164,,172,,,,,11,,,
6693. Roque Pérez,3. Rural dispersa,1281,573,3,671,1,,,,33,,,
6700. Saavedra,0. __tot__,21407,10641,24,10120,18,1,7,27,569,,,
6700. Saavedra,1. Urbana,17955,9052,17,8413,13,1,6,23,430,,,
6700. Saavedra,2. Rural agrupada,2330,1112,7,1158,4,,,3,46,,,
6700. Saavedra,3. Rural dispersa,1122,477,,549,1,,1,1,93,,,
6707. Saladillo,0. __tot__,35423,17650,32,16752,25,8,9,25,922,,,
6707. Saladillo,1. Urbana,30378,15278,26,14201,19,6,9,21,818,,,
6707. Saladillo,2. Rural agrupada,2161,1049,2,1048,1,1,,2,58,,,
6707. Saladillo,3. Rural dispersa,2884,1323,4,1503,5,1,,2,46,,,
6714. Salto,0. __tot__,39257,18332,63,17618,98,26,31,33,3056,,,
6714. Salto,1. Urbana,34034,15987,57,15163,88,25,28,27,2659,,,
6714. Salto,2. Rural agrupada,3999,1865,5,1862,7,1,1,4,254,,,
6714. Salto,3. Rural dispersa,1224,480,1,593,3,,2,2,143,,,
6721. Salliqueló,0. __tot__,9344,4491,13,4322,14,,2,13,489,,,
6721. Salliqueló,1. Urbana,8456,4093,12,3883,14,,2,13,439,,,
6721. Salliqueló,2. Rural agrupada,576,279,,267,,,,,30,,,
6721. Salliqueló,3. Rural dispersa,312,119,1,172,,,,,20,,,
6728. San Andrés de Giles,0. __tot__,26399,12795,45,12620,30,16,7,24,862,,,
6728. San Andrés de Giles,1. Urbana,19362,9571,25,9038,26,11,7,18,666,,,
6728. San Andrés de Giles,2. Rural agrupada,3727,1793,10,1830,1,5,,1,87,,,
6728. San Andrés de Giles,3. Rural dispersa,3310,1431,10,1752,3,,,5,109,,,
6735. San Antonio de Areco,0. __tot__,26695,13028,47,12328,74,13,10,36,1159,,,
6735. San Antonio de Areco,1. Urbana,22909,11268,32,10501,54,9,6,34,1005,,,
6735. San Antonio de Areco,2. Rural agrupada,2433,1146,10,1135,20,4,4,,114,,,
6735. San Antonio de Areco,3. Rural dispersa,1353,614,5,692,,,,2,40,,,
6742. San Cayetano,0. __tot__,8918,4255,10,4075,31,,,9,538,,,
6742. San Cayetano,1. Urbana,8227,3951,10,3720,31,,,8,507,,,
6742. San Cayetano,2. Rural agrupada,99,47,,41,,,,,11,,,
6742. San Cayetano,3. Rural dispersa,592,257,,314,,,,1,20,,,
6749. San Fernando,0. __tot__,171099,84447,220,77007,220,112,71,272,8750,,,
6749. San Fernando,1. Urbana,168882,83457,216,75927,211,110,69,272,8620,,,
6749. San Fernando,3. Rural dispersa,2217,990,4,1080,9,2,2,,130,,,
6756. San Isidro,0. __tot__,295978,148003,384,131612,587,293,141,639,14319,,,
6756. San Isidro,1. Urbana,295978,148003,384,131612,587,293,141,639,14319,,,
6760. San Miguel,0. __tot__,327650,157686,392,147872,880,332,196,567,19725,,,
6760. San Miguel,1. Urbana,327650,157686,392,147872,880,332,196,567,19725,,,
6763. San Nicolás,0. __tot__,166657,79131,231,74295,559,124,142,181,11994,,,
6763. San Nicolás,1. Urbana,164640,78214,225,73370,557,123,142,181,11828,,,
6763. San Nicolás,2. Rural agrupada,940,445,,436,2,1,,,56,,,
6763. San Nicolás,3. Rural dispersa,1077,472,6,489,,,,,110,,,
6770. San Pedro,0. __tot__,68353,33271,137,31771,120,31,14,46,2963,,,
6770. San Pedro,1. Urbana,64269,31443,126,29720,106,29,14,44,2787,,,
6770. San Pedro,2. Rural agrupada,1122,531,1,553,2,,,,35,,,
6770. San Pedro,3. Rural dispersa,2962,1297,10,1498,12,2,,2,141,,,
6778. San Vicente,0. __tot__,97929,46787,125,45370,138,59,23,132,5295,,,
6778. San Vicente,1. Urbana,94835,45281,123,43882,136,59,22,118,5214,,,
6778. San Vicente,2. Rural agrupada,2152,1082,1,1017,,,1,14,37,,,
6778. San Vicente,3. Rural dispersa,942,424,1,471,2,,,,44,,,
6784. Suipacha,0. __tot__,11736,5648,8,5423,26,3,4,12,612,,,
6784. Suipacha,1. Urbana,9609,4731,6,4439,11,,1,10,411,,,
6784. Suipacha,2. Rural agrupada,542,259,1,253,,,1,,28,,,
6784. Suipacha,3. Rural dispersa,1585,658,1,731,15,3,2,2,173,,,
6791. Tandil,0. __tot__,144678,71173,136,66358,234,115,60,234,6368,,,
6791. Tandil,1. Urbana,138549,68378,129,63392,223,111,59,226,6031,,,
6791. Tandil,2. Rural agrupada,3033,1463,4,1416,7,1,,2,140,,,
6791. Tandil,3. Rural dispersa,3096,1332,3,1550,4,3,1,6,197,,,
6798. Tapalqué,0. __tot__,10695,5031,26,4884,31,4,2,14,703,,,
6798. Tapalqué,1. Urbana,9408,4481,22,4195,30,4,2,13,661,,,
6798. Tapalqué,2. Rural agrupada,382,190,2,189,,,,,1,,,
6798. Tapalqué,3. Rural dispersa,905,360,2,500,1,,,1,41,,,
6805. Tigre,0. __tot__,446291,213540,580,201627,803,333,182,766,28460,,,
6805. Tigre,1. Urbana,439067,210212,570,198111,789,304,174,738,28169,,,
6805. Tigre,3. Rural dispersa,7224,3328,10,3516,14,29,8,28,291,,,
6812. Tordillo,0. __tot__,2528,1174,,1262,,,3,4,85,,,
6812. Tordillo,1. Urbana,2190,1048,,1061,,,3,4,74,,,
6812. Tordillo,2. Rural agrupada,83,36,,46,,,,,1,,,
6812. Tordillo,3. Rural dispersa,255,90,,155,,,,,10,,,
6819. Tornquist,0. __tot__,14591,7023,22,6798,45,12,9,24,658,,,
6819. Tornquist,1. Urbana,10157,4963,16,4570,40,9,7,20,532,,,
6819. Tornquist,2. Rural agrupada,3279,1570,5,1607,2,3,1,4,87,,,
6819. Tornquist,3. Rural dispersa,1155,490,1,621,3,,1,,39,,,
6826. Trenque Lauquen,0. __tot__,49128,23571,85,22676,166,43,43,77,2467,,,
6826. Trenque Lauquen,1. Urbana,45314,22005,75,20718,154,33,37,73,2219,,,
6826. Trenque Lauquen,2. Rural agrupada,1326,640,3,650,,,,,33,,,
6826. Trenque Lauquen,3. Rural dispersa,2488,926,7,1308,12,10,6,4,215,,,
6833. Tres Arroyos,0. __tot__,61889,30709,61,29152,38,27,16,88,1798,,,
6833. Tres Arroyos,1. Urbana,56821,28509,55,26809,33,26,14,78,1297,,,
6833. Tres Arroyos,2. Rural agrupada,3165,1358,4,1372,3,,2,8,418,,,
6833. Tres Arroyos,3. Rural dispersa,1903,842,2,971,2,1,,2,83,,,
6840. Tres de Febrero,0. __tot__,362319,180624,407,164453,496,307,185,651,15196,,,
6840. Tres de Febrero,1. Urbana,362319,180624,407,164453,496,307,185,651,15196,,,
6847. Tres Lomas,0. __tot__,9090,4163,22,4205,14,3,10,14,659,,,
6847. Tres Lomas,1. Urbana,8405,3922,21,3881,13,3,8,13,544,,,
6847. Tres Lomas,2. Rural agrupada,169,74,,89,,,,,6,,,
6847. Tres Lomas,3. Rural dispersa,516,167,1,235,1,,2,1,109,,,
6854. 25 de Mayo,0. __tot__,35411,17157,53,16230,55,15,10,38,1853,,,
6854. 25 de Mayo,1. Urbana,29020,14253,40,13041,46,11,8,27,1594,,,
6854. 25 de Mayo,2. Rural agrupada,3872,1820,5,1890,5,3,2,4,143,,,
6854. 25 de Mayo,3. Rural dispersa,2519,1084,8,1299,4,1,,7,116,,,
6861. Vicente López,0. __tot__,280541,139709,362,123029,541,360,179,823,15538,,,
6861. Vicente López,1. Urbana,280541,139709,362,123029,541,360,179,823,15538,,,
6868. Villa Gesell,0. __tot__,37325,17868,59,16962,74,45,14,58,2245,,,
6868. Villa Gesell,1. Urbana,37286,17849,59,16943,74,45,14,58,2244,,,
6868. Villa Gesell,2. Rural agrupada,9,5,,4,,,,,,,,
6868. Villa Gesell,3. Rural dispersa,30,14,,15,,,,,1,,,
6875. Villarino,0. __tot__,32552,15600,28,15788,35,7,7,27,1060,,,
6875. Villarino,1. Urbana,29492,14283,27,14199,28,6,6,24,919,,,
6875. Villarino,2. Rural agrupada,714,349,,346,,,,,19,,,
6875. Villarino,3. Rural dispersa,2346,968,1,1243,7,1,1,3,122,,,
6882. Zárate,0. __tot__,131415,63131,175,60633,204,65,68,165,6974,,,
6882. Zárate,1. Urbana,128776,62050,170,59383,188,62,66,159,6698,,,
6882. Zárate,2. Rural agrupada,1070,419,2,449,9,1,1,4,185,,,
6882. Zárate,3. Rural dispersa,1569,662,3,801,7,2,1,2,91,,,
10007. Ambato,0. __tot__,5087,2336,4,2431,9,3,2,4,298,,,
10007. Ambato,2. Rural agrupada,4320,2016,3,2027,5,2,1,3,263,,,
10007. Ambato,3. Rural dispersa,767,320,1,404,4,1,1,1,35,,,
10014. Ancasti,0. __tot__,3282,1489,,1700,1,,,1,91,,,
10014. Ancasti,2. Rural agrupada,986,479,,460,,,,1,46,,,
10014. Ancasti,3. Rural dispersa,2296,1010,,1240,1,,,,45,,,
10021. Andalgalá,0. __tot__,19545,9230,28,9212,21,7,4,14,1029,,,
10021. Andalgalá,1. Urbana,14311,6952,16,6678,11,4,2,9,639,,,
10021. Andalgalá,2. Rural agrupada,3231,1416,10,1500,10,2,2,3,288,,,
10021. Andalgalá,3. Rural dispersa,2003,862,2,1034,,1,,2,102,,,
10028. Antofagasta de la Sierra,0. __tot__,1822,846,1,911,1,,,1,62,,,
10028. Antofagasta de la Sierra,2. Rural agrupada,1559,723,1,787,1,,,1,46,,,
10028. Antofagasta de la Sierra,3. Rural dispersa,263,123,,124,,,,,16,,,
10035. Belén,0. __tot__,30353,14896,41,14326,14,12,5,13,1046,,,
10035. Belén,1. Urbana,18176,9134,25,8332,5,8,4,9,659,,,
10035. Belén,2. Rural agrupada,8084,3863,10,4016,4,2,1,2,186,,,
10035. Belén,3. Rural dispersa,4093,1899,6,1978,5,2,,2,201,,,
10042. Capayán,0. __tot__,19471,9194,26,9282,14,3,6,16,930,,,
10042. Capayán,1. Urbana,11226,5354,15,5234,10,1,4,10,598,,,
10042. Capayán,2. Rural agrupada,6312,2962,4,3086,3,2,1,5,249,,,
10042. Capayán,3. Rural dispersa,1933,878,7,962,1,,1,1,83,,,
10049. Capital,0. __tot__,186466,92143,233,85164,139,98,38,160,8491,,,
10049. Capital,1. Urbana,185694,91777,233,84795,138,97,37,160,8457,,,
10049. Capital,2. Rural agrupada,128,58,,63,,,,,7,,,
10049. Capital,3. Rural dispersa,644,308,,306,1,1,1,,27,,,
10056. El Alto,0. __tot__,4375,1986,5,2086,6,5,11,5,271,,,
10056. El Alto,2. Rural agrupada,2123,1009,5,998,1,,3,4,103,,,
10056. El Alto,3. Rural dispersa,2252,977,,1088,5,5,8,1,168,,,
10063. Fray Mamerto Esquiú,0. __tot__,14624,7021,17,6863,17,7,9,27,663,,,
10063. Fray Mamerto Esquiú,1. Urbana,12700,6227,13,6106,6,2,3,23,320,,,
10063. Fray Mamerto Esquiú,2. Rural agrupada,1814,745,4,706,11,5,5,4,334,,,
10063. Fray Mamerto Esquiú,3. Rural dispersa,110,49,,51,,,1,,9,,,
10070. La Paz,0. __tot__,26341,12477,44,12271,38,16,23,18,1454,,,
10070. La Paz,1. Urbana,20259,9697,39,9310,34,14,23,17,1125,,,
10070. La Paz,2. Rural agrupada,4185,2007,5,1983,4,2,,1,183,,,
10070. La Paz,3. Rural dispersa,1897,773,,978,,,,,146,,,
10077. Paclín,0. __tot__,4696,2185,4,2338,,,,,169,,,
10077. Paclín,1. Urbana,2088,1018,2,978,,,,,90,,,
10077. Paclín,2. Rural agrupada,1780,784,2,946,,,,,48,,,
10077. Paclín,3. Rural dispersa,828,383,,414,,,,,31,,,
10084. Pomán,0. __tot__,12219,5577,18,5808,13,9,16,10,768,,,
10084. Pomán,1. Urbana,6146,2843,8,2846,6,6,8,5,424,,,
10084. Pomán,2. Rural agrupada,5567,2532,10,2682,5,3,8,5,322,,,
10084. Pomán,3. Rural dispersa,506,202,,280,2,,,,22,,,
10091. Santa María,0. __tot__,26822,13112,29,12512,16,6,9,22,1116,,,
10091. Santa María,1. Urbana,20468,10045,21,9382,13,2,7,21,977,,,
10091. Santa María,2. Rural agrupada,5486,2692,5,2666,3,3,2,1,114,,,
10091. Santa María,3. Rural dispersa,868,375,3,464,,1,,,25,,,
10098. Santa Rosa,0. __tot__,13317,6175,18,6347,17,1,5,5,749,,,
10098. Santa Rosa,1. Urbana,5609,2636,11,2589,8,1,2,3,359,,,
10098. Santa Rosa,2. Rural agrupada,5916,2742,5,2846,8,,3,2,310,,,
10098. Santa Rosa,3. Rural dispersa,1792,797,2,912,1,,,,80,,,
10105. Tinogasta,0. __tot__,25254,11923,40,11699,32,8,4,23,1525,,,
10105. Tinogasta,1. Urbana,19127,9281,30,8791,21,5,2,21,976,,,
10105. Tinogasta,2. Rural agrupada,3935,1640,5,1816,11,3,2,1,457,,,
10105. Tinogasta,3. Rural dispersa,2192,1002,5,1092,,,,1,92,,,
10112. Valle Viejo,0. __tot__,33951,16435,25,15895,23,18,11,37,1507,,,
10112. Valle Viejo,1. Urbana,31972,15567,21,14912,23,16,8,34,1391,,,
10112. Valle Viejo,2. Rural agrupada,1618,747,1,763,,2,3,3,99,,,
10112. Valle Viejo,3. Rural dispersa,361,121,3,220,,,,,17,,,
14007. Calamuchita,0. __tot__,75462,34510,85,33494,124,57,37,122,7033,,,
14007. Calamuchita,1. Urbana,62455,28868,59,27444,104,43,24,104,5809,,,
14007. Calamuchita,2. Rural agrupada,8570,3792,12,3960,12,11,9,12,762,,,
14007. Calamuchita,3. Rural dispersa,4437,1850,14,2090,8,3,4,6,462,,,
14014. Capital,0. __tot__,1498060,722580,1741,651459,1788,1442,735,2709,115606,,,
14014. Capital,1. Urbana,1493668,720584,1734,649424,1783,1441,735,2707,115260,,,
14014. Capital,3. Rural dispersa,4392,1996,7,2035,5,1,,2,346,,,
14021. Colón,0. __tot__,294511,139149,329,131088,319,200,105,444,22877,,,
14021. Colón,1. Urbana,284679,134631,311,126540,303,188,102,430,22174,,,
14021. Colón,2. Rural agrupada,4249,1986,9,1938,8,7,1,13,287,,,
14021. Colón,3. Rural dispersa,5583,2532,9,2610,8,5,2,1,416,,,
14028. Cruz del Eje,0. __tot__,64748,30430,101,28110,54,23,17,50,5963,,,
14028. Cruz del Eje,1. Urbana,50365,24252,71,21782,41,18,9,46,4146,,,
14028. Cruz del Eje,2. Rural agrupada,8805,3863,16,3833,8,4,2,3,1076,,,
14028. Cruz del Eje,3. Rural dispersa,5578,2315,14,2495,5,1,6,1,741,,,
14035. General Roca,0. __tot__,36064,17359,33,17620,5,5,7,22,1013,,,
14035. General Roca,1. Urbana,28017,13690,19,13456,3,5,6,18,820,,,
14035. General Roca,2. Rural agrupada,6020,2888,11,2981,2,,,2,136,,,
14035. General Roca,3. Rural dispersa,2027,781,3,1183,,,1,2,57,,,
14042. General San Martín,0. __tot__,152397,73242,185,68578,156,82,43,174,9937,,,
14042. General San Martín,1. Urbana,138760,67065,163,61978,142,80,41,171,9120,,,
14042. General San Martín,2. Rural agrupada,8476,4054,10,3985,10,,2,2,413,,,
14042. General San Martín,3. Rural dispersa,5161,2123,12,2615,4,2,,1,404,,,
14049. Ischilín,0. __tot__,36023,17492,44,16449,16,7,9,26,1980,,,
14049. Ischilín,1. Urbana,31533,15447,40,14338,14,7,9,24,1654,,,
14049. Ischilín,2. Rural agrupada,2346,1124,3,1110,1,,,2,106,,,
14049. Ischilín,3. Rural dispersa,2144,921,1,1001,1,,,,220,,,
14056. Juárez Celman,0. __tot__,68317,32240,83,31502,51,16,15,51,4359,,,
14056. Juárez Celman,1. Urbana,58466,27883,74,26894,46,16,11,41,3501,,,
14056. Juárez Celman,2. Rural agrupada,6954,3198,4,3190,1,,4,10,547,,,
14056. Juárez Celman,3. Rural dispersa,2897,1159,5,1418,4,,,,311,,,
14063. Marcos Juárez,0. __tot__,107286,52174,124,49725,84,22,29,84,5044,,,
14063. Marcos Juárez,1. Urbana,99847,48822,108,46046,77,22,25,83,4664,,,
14063. Marcos Juárez,2. Rural agrupada,4123,1963,7,1915,4,,4,1,229,,,
14063. Marcos Juárez,3. Rural dispersa,3316,1389,9,1764,3,,,,151,,,
14070. Minas,0. __tot__,4855,2225,8,2299,3,1,2,1,316,,,
14070. Minas,2. Rural agrupada,3299,1528,2,1539,,1,2,1,226,,,
14070. Minas,3. Rural dispersa,1556,697,6,760,3,,,,90,,,
14077. Pocho,0. __tot__,5070,2314,12,2385,6,1,,1,351,,,
14077. Pocho,2. Rural agrupada,2999,1446,9,1338,5,1,,1,199,,,
14077. Pocho,3. Rural dispersa,2071,868,3,1047,1,,,,152,,,
14084. Presidente Roque Sáenz Peña,0. __tot__,37551,18061,32,17669,32,5,7,33,1712,,,
14084. Presidente Roque Sáenz Peña,1. Urbana,31625,15352,26,14645,27,4,6,31,1534,,,
14084. Presidente Roque Sáenz Peña,2. Rural agrupada,3765,1845,4,1853,1,1,1,2,58,,,
14084. Presidente Roque Sáenz Peña,3. Rural dispersa,2161,864,2,1171,4,,,,120,,,
14091. Punilla,0. __tot__,219494,105097,268,95260,283,159,102,430,17895,,,
14091. Punilla,1. Urbana,210576,101030,256,91152,270,137,95,405,17231,,,
14091. Punilla,2. Rural agrupada,6384,2942,4,2957,9,19,6,25,422,,,
14091. Punilla,3. Rural dispersa,2534,1125,8,1151,4,3,1,,242,,,
14098. Río Cuarto,0. __tot__,277979,135928,271,125938,230,116,62,303,15131,,,
14098. Río Cuarto,1. Urbana,259263,127716,250,116837,214,114,55,299,13778,,,
14098. Río Cuarto,2. Rural agrupada,10819,4991,9,5020,9,2,5,4,779,,,
14098. Río Cuarto,3. Rural dispersa,7897,3221,12,4081,7,,2,,574,,,
14105. Río Primero,0. __tot__,58181,26093,52,25088,57,23,23,50,6795,,,
14105. Río Primero,1. Urbana,44052,20279,40,19104,36,19,17,42,4515,,,
14105. Río Primero,2. Rural agrupada,7656,3316,6,3195,11,2,1,4,1121,,,
14105. Río Primero,3. Rural dispersa,6473,2498,6,2789,10,2,5,4,1159,,,
14112. Río Seco,0. __tot__,15275,7101,16,7076,8,6,2,8,1058,,,
14112. Río Seco,1. Urbana,9220,4354,11,4054,4,2,,1,794,,,
14112. Río Seco,2. Rural agrupada,3621,1719,2,1760,1,1,1,3,134,,,
14112. Río Seco,3. Rural dispersa,2434,1028,3,1262,3,3,1,4,130,,,
14119. Río Segundo,0. __tot__,113311,54946,141,51230,91,37,25,103,6738,,,
14119. Río Segundo,1. Urbana,98990,48279,117,44327,82,34,20,97,6034,,,
14119. Río Segundo,2. Rural agrupada,11063,5376,17,5294,9,2,2,4,359,,,
14119. Río Segundo,3. Rural dispersa,3258,1291,7,1609,,1,3,2,345,,,
14126. San Alberto,0. __tot__,42029,19657,61,18641,77,33,15,63,3482,,,
14126. San Alberto,1. Urbana,32358,15457,45,14340,53,16,11,51,2385,,,
14126. San Alberto,2. Rural agrupada,5669,2484,8,2437,20,15,4,8,693,,,
14126. San Alberto,3. Rural dispersa,4002,1716,8,1864,4,2,,4,404,,,
14133. San Javier,0. __tot__,62700,30769,92,28132,68,48,19,92,3480,,,
14133. San Javier,1. Urbana,54113,26841,80,24165,58,32,12,63,2862,,,
14133. San Javier,2. Rural agrupada,4858,2279,4,2223,8,14,4,21,305,,,
14133. San Javier,3. Rural dispersa,3729,1649,8,1744,2,2,3,8,313,,,
14140. San Justo,0. __tot__,228951,108600,241,102793,172,77,84,183,16801,,,
14140. San Justo,1. Urbana,201844,96937,205,90246,147,67,70,171,14001,,,
14140. San Justo,2. Rural agrupada,14831,6954,10,6936,13,5,7,9,897,,,
14140. San Justo,3. Rural dispersa,12276,4709,26,5611,12,5,7,3,1903,,,
14147. Santa María,0. __tot__,139012,64717,130,61202,223,99,68,208,12365,,,
14147. Santa María,1. Urbana,115771,54182,114,50615,181,75,52,168,10384,,,
14147. Santa María,2. Rural agrupada,19617,9020,10,8927,39,22,13,40,1546,,,
14147. Santa María,3. Rural dispersa,3624,1515,6,1660,3,2,3,,435,,,
14154. Sobremonte,0. __tot__,4381,2101,8,2013,5,,,1,253,,,
14154. Sobremonte,1. Urbana,2908,1442,7,1257,2,,,1,199,,,
14154. Sobremonte,2. Rural agrupada,564,276,1,266,1,,,,20,,,
14154. Sobremonte,3. Rural dispersa,909,383,,490,2,,,,34,,,
