DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
2063. Comuna 9,7. Prefiero no contestar,408,366,42,,,
2063. Comuna 9,9. Ignorado,8017,7278,739,,,
2070. Comuna 10,0. __tot__,171896,163335,8561,,,
2070. Comuna 10,1. Mujer,86992,82481,4511,,,
2070. Comuna 10,2. Mujer trans/travesti,191,178,13,,,
2070. Comuna 10,3. Varón,76213,72959,3254,,,
2070. Comuna 10,4. Varón trans/masculinidad trans,308,288,20,,,
2070. Comuna 10,5. No binario,216,206,10,,,
2070. Comuna 10,6. Otra identidad/ninguna de las anteriores,159,141,18,,,
2070. Comuna 10,7. Prefiero no contestar,507,462,45,,,
2070. Comuna 10,9. Ignorado,7310,6620,690,,,
2077. Comuna 11,0. __tot__,201905,192705,9200,,,
2077. Comuna 11,1. Mujer,100831,96068,4763,,,
2077. Comuna 11,2. Mujer trans/travesti,248,220,28,,,
2077. Comuna 11,3. Varón,87305,84031,3274,,,
2077. Comuna 11,4. Varón trans/masculinidad trans,467,444,23,,,
2077. Comuna 11,5. No binario,341,326,15,,,
2077. Comuna 11,6. Otra identidad/ninguna de las anteriores,251,229,22,,,
2077. Comuna 11,7. Prefiero no contestar,577,542,35,,,
2077. Comuna 11,9. Ignorado,11885,10845,1040,,,
2084. Comuna 12,0. __tot__,235364,225799,9565,,,
2084. Comuna 12,1. Mujer,117866,112889,4977,,,
2084. Comuna 12,2. Mujer trans/travesti,225,217,8,,,
2084. Comuna 12,3. Varón,102492,99072,3420,,,
2084. Comuna 12,4. Varón trans/masculinidad trans,537,497,40,,,
2084. Comuna 12,5. No binario,443,425,18,,,
2084. Comuna 12,6. Otra identidad/ninguna de las anteriores,252,234,18,,,
2084. Comuna 12,7. Prefiero no contestar,744,685,59,,,
2084. Comuna 12,9. Ignorado,12805,11780,1025,,,
2091. Comuna 13,0. __tot__,262330,252367,9963,,,
2091. Comuna 13,1. Mujer,135259,129719,5540,,,
2091. Comuna 13,2. Mujer trans/travesti,323,291,32,,,
2091. Comuna 13,3. Varón,111297,108049,3248,,,
2091. Comuna 13,4. Varón trans/masculinidad trans,610,571,39,,,
2091. Comuna 13,5. No binario,402,380,22,,,
2091. Comuna 13,6. Otra identidad/ninguna de las anteriores,274,258,16,,,
2091. Comuna 13,7. Prefiero no contestar,856,792,64,,,
2091. Comuna 13,9. Ignorado,13309,12307,1002,,,
2098. Comuna 14,0. __tot__,247252,238062,9190,,,
2098. Comuna 14,1. Mujer,127452,122436,5016,,,
2098. Comuna 14,2. Mujer trans/travesti,363,326,37,,,
2098. Comuna 14,3. Varón,103089,100044,3045,,,
2098. Comuna 14,4. Varón trans/masculinidad trans,516,491,25,,,
2098. Comuna 14,5. No binario,472,442,30,,,
2098. Comuna 14,6. Otra identidad/ninguna de las anteriores,281,252,29,,,
2098. Comuna 14,7. Prefiero no contestar,898,821,77,,,
2098. Comuna 14,9. Ignorado,14181,13250,931,,,
2105. Comuna 15,0. __tot__,195265,186870,8395,,,
2105. Comuna 15,1. Mujer,98584,94182,4402,,,
2105. Comuna 15,2. Mujer trans/travesti,222,205,17,,,
2105. Comuna 15,3. Varón,85422,82282,3140,,,
2105. Comuna 15,4. Varón trans/masculinidad trans,363,340,23,,,
2105. Comuna 15,5. No binario,549,533,16,,,
2105. Comuna 15,6. Otra identidad/ninguna de las anteriores,194,184,10,,,
2105. Comuna 15,7. Prefiero no contestar,762,701,61,,,
2105. Comuna 15,9. Ignorado,9169,8443,726,,,
6007. Adolfo Alsina,0. __tot__,17344,15888,1456,,,
6007. Adolfo Alsina,1. Mujer,8405,7717,688,,,
6007. Adolfo Alsina,2. Mujer trans/travesti,24,23,1,,,
6007. Adolfo Alsina,3. Varón,8373,7657,716,,,
6007. Adolfo Alsina,4. Varón trans/masculinidad trans,5,5,,,,
6007. Adolfo Alsina,5. No binario,3,2,1,,,
6007. Adolfo Alsina,6. Otra identidad/ninguna de las anteriores,3,3,,,,
6007. Adolfo Alsina,7. Prefiero no contestar,27,25,2,,,
6007. Adolfo Alsina,9. Ignorado,504,456,48,,,
6014. Adolfo Gonzales Chaves,0. __tot__,12847,11677,1170,,,
6014. Adolfo Gonzales Chaves,1. Mujer,6211,5665,546,,,
6014. Adolfo Gonzales Chaves,2. Mujer trans/travesti,12,9,3,,,
6014. Adolfo Gonzales Chaves,3. Varón,5894,5377,517,,,
6014. Adolfo Gonzales Chaves,4. Varón trans/masculinidad trans,8,6,2,,,
6014. Adolfo Gonzales Chaves,5. No binario,5,5,,,,
6014. Adolfo Gonzales Chaves,6. Otra identidad/ninguna de las anteriores,2,2,,,,
6014. Adolfo Gonzales Chaves,7. Prefiero no contestar,16,16,,,,
6014. Adolfo Gonzales Chaves,9. Ignorado,699,597,102,,,
6021. Alberti,0. __tot__,12906,11742,1164,,,
6021. Alberti,1. Mujer,6141,5610,531,,,
6021. Alberti,2. Mujer trans/travesti,16,13,3,,,
