DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
2063. Comuna 9,7. Prefiero no contestar,408,355,53,,,
2063. Comuna 9,9. Ignorado,8017,6709,1308,,,
2070. Comuna 10,0. __tot__,171896,159221,12675,,,
2070. Comuna 10,1. Mujer,86992,80573,6419,,,
2070. Comuna 10,2. Mujer trans/travesti,191,166,25,,,
2070. Comuna 10,3. Varón,76213,71083,5130,,,
2070. Comuna 10,4. Varón trans/masculinidad trans,308,270,38,,,
2070. Comuna 10,5. No binario,216,205,11,,,
2070. Comuna 10,6. Otra identidad/ninguna de las anteriores,159,131,28,,,
2070. Comuna 10,7. Prefiero no contestar,507,445,62,,,
2070. Comuna 10,9. Ignorado,7310,6348,962,,,
2077. Comuna 11,0. __tot__,201905,189397,12508,,,
2077. Comuna 11,1. Mujer,100831,94613,6218,,,
2077. Comuna 11,2. Mujer trans/travesti,248,212,36,,,
2077. Comuna 11,3. Varón,87305,82607,4698,,,
2077. Comuna 11,4. Varón trans/masculinidad trans,467,420,47,,,
2077. Comuna 11,5. No binario,341,318,23,,,
2077. Comuna 11,6. Otra identidad/ninguna de las anteriores,251,219,32,,,
2077. Comuna 11,7. Prefiero no contestar,577,531,46,,,
2077. Comuna 11,9. Ignorado,11885,10477,1408,,,
2084. Comuna 12,0. __tot__,235364,222637,12727,,,
2084. Comuna 12,1. Mujer,117866,111481,6385,,,
2084. Comuna 12,2. Mujer trans/travesti,225,203,22,,,
2084. Comuna 12,3. Varón,102492,97775,4717,,,
2084. Comuna 12,4. Varón trans/masculinidad trans,537,485,52,,,
2084. Comuna 12,5. No binario,443,414,29,,,
2084. Comuna 12,6. Otra identidad/ninguna de las anteriores,252,221,31,,,
2084. Comuna 12,7. Prefiero no contestar,744,673,71,,,
2084. Comuna 12,9. Ignorado,12805,11385,1420,,,
2091. Comuna 13,0. __tot__,262330,251306,11024,,,
2091. Comuna 13,1. Mujer,135259,129258,6001,,,
2091. Comuna 13,2. Mujer trans/travesti,323,296,27,,,
2091. Comuna 13,3. Varón,111297,107664,3633,,,
2091. Comuna 13,4. Varón trans/masculinidad trans,610,548,62,,,
