DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6778. San Vicente,2. Mujer trans/travesti,125,90,35,,,
6778. San Vicente,3. Varón,45370,33834,11536,,,
6778. San Vicente,4. Varón trans/masculinidad trans,138,100,38,,,
6778. San Vicente,5. No binario,59,47,12,,,
6778. San Vicente,6. Otra identidad/ninguna de las anteriores,23,17,6,,,
6778. San Vicente,7. Prefiero no contestar,132,95,37,,,
6778. San Vicente,9. Ignorado,5295,3680,1615,,,
6784. Suipacha,0. __tot__,11736,10255,1481,,,
6784. Suipacha,1. Mujer,5648,4971,677,,,
6784. Suipacha,2. Mujer trans/travesti,8,7,1,,,
6784. Suipacha,3. Varón,5423,4738,685,,,
6784. Suipacha,4. Varón trans/masculinidad trans,26,16,10,,,
6784. Suipacha,5. No binario,3,1,2,,,
6784. Suipacha,6. Otra identidad/ninguna de las anteriores,4,3,1,,,
6784. Suipacha,7. Prefiero no contestar,12,10,2,,,
6784. Suipacha,9. Ignorado,612,509,103,,,
6791. Tandil,0. __tot__,144678,123403,21275,,,
6791. Tandil,1. Mujer,71173,61170,10003,,,
6791. Tandil,2. Mujer trans/travesti,136,101,35,,,
6791. Tandil,3. Varón,66358,56610,9748,,,
6791. Tandil,4. Varón trans/masculinidad trans,234,170,64,,,
6791. Tandil,5. No binario,115,97,18,,,
6791. Tandil,6. Otra identidad/ninguna de las anteriores,60,50,10,,,
6791. Tandil,7. Prefiero no contestar,234,198,36,,,
6791. Tandil,9. Ignorado,6368,5007,1361,,,
6798. Tapalqué,0. __tot__,10695,8868,1827,,,
6798. Tapalqué,1. Mujer,5031,4255,776,,,
6798. Tapalqué,2. Mujer trans/travesti,26,17,9,,,
6798. Tapalqué,3. Varón,4884,4021,863,,,
6798. Tapalqué,4. Varón trans/masculinidad trans,31,28,3,,,
6798. Tapalqué,5. No binario,4,4,,,,
6798. Tapalqué,6. Otra identidad/ninguna de las anteriores,2,,2,,,
6798. Tapalqué,7. Prefiero no contestar,14,12,2,,,
6798. Tapalqué,9. Ignorado,703,531,172,,,
6805. Tigre,0. __tot__,446291,399174,47117,,,
6805. Tigre,1. Mujer,213540,192102,21438,,,
6805. Tigre,2. Mujer trans/travesti,580,492,88,,,
6805. Tigre,3. Varón,201627,180718,20909,,,
6805. Tigre,4. Varón trans/masculinidad trans,803,665,138,,,
6805. Tigre,5. No binario,333,292,41,,,
6805. Tigre,6. Otra identidad/ninguna de las anteriores,182,157,25,,,
6805. Tigre,7. Prefiero no contestar,766,677,89,,,
6805. Tigre,9. Ignorado,28460,24071,4389,,,
6812. Tordillo,0. __tot__,2528,1828,700,,,
6812. Tordillo,1. Mujer,1174,885,289,,,
6812. Tordillo,3. Varón,1262,893,369,,,
6812. Tordillo,6. Otra identidad/ninguna de las anteriores,3,,3,,,
6812. Tordillo,7. Prefiero no contestar,4,3,1,,,
6812. Tordillo,9. Ignorado,85,47,38,,,
6819. Tornquist,0. __tot__,14591,13105,1486,,,
6819. Tornquist,1. Mujer,7023,6373,650,,,
6819. Tornquist,2. Mujer trans/travesti,22,20,2,,,
6819. Tornquist,3. Varón,6798,6086,712,,,
6819. Tornquist,4. Varón trans/masculinidad trans,45,37,8,,,
6819. Tornquist,5. No binario,12,10,2,,,
6819. Tornquist,6. Otra identidad/ninguna de las anteriores,9,6,3,,,
6819. Tornquist,7. Prefiero no contestar,24,19,5,,,
6819. Tornquist,9. Ignorado,658,554,104,,,
6826. Trenque Lauquen,0. __tot__,49128,43385,5743,,,
6826. Trenque Lauquen,1. Mujer,23571,21051,2520,,,
6826. Trenque Lauquen,2. Mujer trans/travesti,85,67,18,,,
6826. Trenque Lauquen,3. Varón,22676,20041,2635,,,
6826. Trenque Lauquen,4. Varón trans/masculinidad trans,166,131,35,,,
6826. Trenque Lauquen,5. No binario,43,36,7,,,
6826. Trenque Lauquen,6. Otra identidad/ninguna de las anteriores,43,37,6,,,
6826. Trenque Lauquen,7. Prefiero no contestar,77,61,16,,,
6826. Trenque Lauquen,9. Ignorado,2467,1961,506,,,
6833. Tres Arroyos,0. __tot__,61889,53156,8733,,,
6833. Tres Arroyos,1. Mujer,30709,26548,4161,,,
6833. Tres Arroyos,2. Mujer trans/travesti,61,49,12,,,
6833. Tres Arroyos,3. Varón,29152,24987,4165,,,
6833. Tres Arroyos,4. Varón trans/masculinidad trans,38,28,10,,,
6833. Tres Arroyos,5. No binario,27,24,3,,,
6833. Tres Arroyos,6. Otra identidad/ninguna de las anteriores,16,14,2,,,
6833. Tres Arroyos,7. Prefiero no contestar,88,70,18,,,
6833. Tres Arroyos,9. Ignorado,1798,1436,362,,,
6840. Tres de Febrero,0. __tot__,362319,323141,39178,,,
6840. Tres de Febrero,1. Mujer,180624,161305,19319,,,
6840. Tres de Febrero,2. Mujer trans/travesti,407,335,72,,,
6840. Tres de Febrero,3. Varón,164453,147044,17409,,,
6840. Tres de Febrero,4. Varón trans/masculinidad trans,496,435,61,,,
6840. Tres de Febrero,5. No binario,307,279,28,,,
6840. Tres de Febrero,6. Otra identidad/ninguna de las anteriores,185,166,19,,,
6840. Tres de Febrero,7. Prefiero no contestar,651,560,91,,,
6840. Tres de Febrero,9. Ignorado,15196,13017,2179,,,
6847. Tres Lomas,0. __tot__,9090,7768,1322,,,
6847. Tres Lomas,1. Mujer,4163,3653,510,,,
6847. Tres Lomas,2. Mujer trans/travesti,22,18,4,,,
6847. Tres Lomas,3. Varón,4205,3567,638,,,
6847. Tres Lomas,4. Varón trans/masculinidad trans,14,11,3,,,
6847. Tres Lomas,5. No binario,3,2,1,,,
6847. Tres Lomas,6. Otra identidad/ninguna de las anteriores,10,8,2,,,
6847. Tres Lomas,7. Prefiero no contestar,14,12,2,,,
6847. Tres Lomas,9. Ignorado,659,497,162,,,
6854. 25 de Mayo,0. __tot__,35411,27172,8239,,,
6854. 25 de Mayo,1. Mujer,17157,13276,3881,,,
6854. 25 de Mayo,2. Mujer trans/travesti,53,31,22,,,
6854. 25 de Mayo,3. Varón,16230,12498,3732,,,
6854. 25 de Mayo,4. Varón trans/masculinidad trans,55,33,22,,,
6854. 25 de Mayo,5. No binario,15,11,4,,,
6854. 25 de Mayo,6. Otra identidad/ninguna de las anteriores,10,7,3,,,
6854. 25 de Mayo,7. Prefiero no contestar,38,24,14,,,
6854. 25 de Mayo,9. Ignorado,1853,1292,561,,,
6861. Vicente López,0. __tot__,280541,262391,18150,,,
6861. Vicente López,1. Mujer,139709,130751,8958,,,
6861. Vicente López,2. Mujer trans/travesti,362,313,49,,,
6861. Vicente López,3. Varón,123029,115912,7117,,,
6861. Vicente López,4. Varón trans/masculinidad trans,541,479,62,,,
6861. Vicente López,5. No binario,360,329,31,,,
6861. Vicente López,6. Otra identidad/ninguna de las anteriores,179,160,19,,,
6861. Vicente López,7. Prefiero no contestar,823,751,72,,,
6861. Vicente López,9. Ignorado,15538,13696,1842,,,
6868. Villa Gesell,0. __tot__,37325,30120,7205,,,
6868. Villa Gesell,1. Mujer,17868,14513,3355,,,
6868. Villa Gesell,2. Mujer trans/travesti,59,40,19,,,
6868. Villa Gesell,3. Varón,16962,13625,3337,,,
6868. Villa Gesell,4. Varón trans/masculinidad trans,74,61,13,,,
6868. Villa Gesell,5. No binario,45,38,7,,,
6868. Villa Gesell,6. Otra identidad/ninguna de las anteriores,14,11,3,,,
6868. Villa Gesell,7. Prefiero no contestar,58,48,10,,,
6868. Villa Gesell,9. Ignorado,2245,1784,461,,,
6875. Villarino,0. __tot__,32552,25968,6584,,,
6875. Villarino,1. Mujer,15600,12685,2915,,,
6875. Villarino,2. Mujer trans/travesti,28,21,7,,,
6875. Villarino,3. Varón,15788,12393,3395,,,
6875. Villarino,4. Varón trans/masculinidad trans,35,27,8,,,
6875. Villarino,5. No binario,7,5,2,,,
6875. Villarino,6. Otra identidad/ninguna de las anteriores,7,6,1,,,
6875. Villarino,7. Prefiero no contestar,27,24,3,,,
6875. Villarino,9. Ignorado,1060,807,253,,,
6882. Zárate,0. __tot__,131415,106638,24777,,,
6882. Zárate,1. Mujer,63131,51689,11442,,,
6882. Zárate,2. Mujer trans/travesti,175,133,42,,,
6882. Zárate,3. Varón,60633,49216,11417,,,
6882. Zárate,4. Varón trans/masculinidad trans,204,149,55,,,
6882. Zárate,5. No binario,65,47,18,,,
6882. Zárate,6. Otra identidad/ninguna de las anteriores,68,51,17,,,
6882. Zárate,7. Prefiero no contestar,165,129,36,,,
6882. Zárate,9. Ignorado,6974,5224,1750,,,
10007. Ambato,0. __tot__,5087,1890,3197,,,
10007. Ambato,1. Mujer,2336,898,1438,,,
10007. Ambato,2. Mujer trans/travesti,4,1,3,,,
10007. Ambato,3. Varón,2431,873,1558,,,
10007. Ambato,4. Varón trans/masculinidad trans,9,3,6,,,
10007. Ambato,5. No binario,3,1,2,,,
10007. Ambato,6. Otra identidad/ninguna de las anteriores,2,,2,,,
10007. Ambato,7. Prefiero no contestar,4,3,1,,,
10007. Ambato,9. Ignorado,298,111,187,,,
10014. Ancasti,0. __tot__,3282,1009,2273,,,
10014. Ancasti,1. Mujer,1489,483,1006,,,
10014. Ancasti,3. Varón,1700,495,1205,,,
10014. Ancasti,4. Varón trans/masculinidad trans,1,,1,,,
10014. Ancasti,7. Prefiero no contestar,1,1,,,,
10014. Ancasti,9. Ignorado,91,30,61,,,
10021. Andalgalá,0. __tot__,19545,6180,13365,,,
10021. Andalgalá,1. Mujer,9230,2980,6250,,,
10021. Andalgalá,2. Mujer trans/travesti,28,10,18,,,
10021. Andalgalá,3. Varón,9212,2917,6295,,,
10021. Andalgalá,4. Varón trans/masculinidad trans,21,7,14,,,
10021. Andalgalá,5. No binario,7,4,3,,,
10021. Andalgalá,6. Otra identidad/ninguna de las anteriores,4,1,3,,,
10021. Andalgalá,7. Prefiero no contestar,14,6,8,,,
10021. Andalgalá,9. Ignorado,1029,255,774,,,
10028. Antofagasta de la Sierra,0. __tot__,1822,1011,811,,,
10028. Antofagasta de la Sierra,1. Mujer,846,480,366,,,
10028. Antofagasta de la Sierra,2. Mujer trans/travesti,1,,1,,,
10028. Antofagasta de la Sierra,3. Varón,911,496,415,,,
10028. Antofagasta de la Sierra,4. Varón trans/masculinidad trans,1,,1,,,
10028. Antofagasta de la Sierra,7. Prefiero no contestar,1,1,,,,
10028. Antofagasta de la Sierra,9. Ignorado,62,34,28,,,
10035. Belén,0. __tot__,30353,19537,10816,,,
10035. Belén,1. Mujer,14896,9733,5163,,,
10035. Belén,2. Mujer trans/travesti,41,23,18,,,
10035. Belén,3. Varón,14326,9088,5238,,,
10035. Belén,4. Varón trans/masculinidad trans,14,8,6,,,
10035. Belén,5. No binario,12,8,4,,,
10035. Belén,6. Otra identidad/ninguna de las anteriores,5,5,,,,
10035. Belén,7. Prefiero no contestar,13,6,7,,,
10035. Belén,9. Ignorado,1046,666,380,,,
10042. Capayán,0. __tot__,19471,8292,11179,,,
10042. Capayán,1. Mujer,9194,3997,5197,,,
10042. Capayán,2. Mujer trans/travesti,26,7,19,,,
10042. Capayán,3. Varón,9282,3887,5395,,,
10042. Capayán,4. Varón trans/masculinidad trans,14,5,9,,,
10042. Capayán,5. No binario,3,2,1,,,
10042. Capayán,6. Otra identidad/ninguna de las anteriores,6,4,2,,,
10042. Capayán,7. Prefiero no contestar,16,10,6,,,
10042. Capayán,9. Ignorado,930,380,550,,,
10049. Capital,0. __tot__,186466,159650,26816,,,
10049. Capital,1. Mujer,92143,79575,12568,,,
10049. Capital,2. Mujer trans/travesti,233,196,37,,,
10049. Capital,3. Varón,85164,72436,12728,,,
10049. Capital,4. Varón trans/masculinidad trans,139,112,27,,,
10049. Capital,5. No binario,98,82,16,,,
10049. Capital,6. Otra identidad/ninguna de las anteriores,38,24,14,,,
10049. Capital,7. Prefiero no contestar,160,137,23,,,
10049. Capital,9. Ignorado,8491,7088,1403,,,
10056. El Alto,0. __tot__,4375,1166,3209,,,
10056. El Alto,1. Mujer,1986,578,1408,,,
10056. El Alto,2. Mujer trans/travesti,5,1,4,,,
10056. El Alto,3. Varón,2086,512,1574,,,
10056. El Alto,4. Varón trans/masculinidad trans,6,1,5,,,
10056. El Alto,5. No binario,5,,5,,,
10056. El Alto,6. Otra identidad/ninguna de las anteriores,11,2,9,,,
10056. El Alto,7. Prefiero no contestar,5,1,4,,,
10056. El Alto,9. Ignorado,271,71,200,,,
10063. Fray Mamerto Esquiú,0. __tot__,14624,10650,3974,,,
10063. Fray Mamerto Esquiú,1. Mujer,7021,5195,1826,,,
10063. Fray Mamerto Esquiú,2. Mujer trans/travesti,17,12,5,,,
10063. Fray Mamerto Esquiú,3. Varón,6863,4973,1890,,,
10063. Fray Mamerto Esquiú,4. Varón trans/masculinidad trans,17,9,8,,,
10063. Fray Mamerto Esquiú,5. No binario,7,3,4,,,
10063. Fray Mamerto Esquiú,6. Otra identidad/ninguna de las anteriores,9,4,5,,,
10063. Fray Mamerto Esquiú,7. Prefiero no contestar,27,24,3,,,
10063. Fray Mamerto Esquiú,9. Ignorado,663,430,233,,,
10070. La Paz,0. __tot__,26341,7014,19327,,,
10070. La Paz,1. Mujer,12477,3404,9073,,,
10070. La Paz,2. Mujer trans/travesti,44,5,39,,,
10070. La Paz,3. Varón,12271,3257,9014,,,
10070. La Paz,4. Varón trans/masculinidad trans,38,5,33,,,
10070. La Paz,5. No binario,16,6,10,,,
10070. La Paz,6. Otra identidad/ninguna de las anteriores,23,5,18,,,
10070. La Paz,7. Prefiero no contestar,18,4,14,,,
10070. La Paz,9. Ignorado,1454,328,1126,,,
10077. Paclín,0. __tot__,4696,2713,1983,,,
10077. Paclín,1. Mujer,2185,1300,885,,,
10077. Paclín,2. Mujer trans/travesti,4,2,2,,,
10077. Paclín,3. Varón,2338,1305,1033,,,
10077. Paclín,9. Ignorado,169,106,63,,,
10084. Pomán,0. __tot__,12219,5084,7135,,,
10084. Pomán,1. Mujer,5577,2406,3171,,,
10084. Pomán,2. Mujer trans/travesti,18,7,11,,,
10084. Pomán,3. Varón,5808,2362,3446,,,
10084. Pomán,4. Varón trans/masculinidad trans,13,6,7,,,
10084. Pomán,5. No binario,9,6,3,,,
10084. Pomán,6. Otra identidad/ninguna de las anteriores,16,3,13,,,
10084. Pomán,7. Prefiero no contestar,10,5,5,,,
10084. Pomán,9. Ignorado,768,289,479,,,
10091. Santa María,0. __tot__,26822,20199,6623,,,
10091. Santa María,1. Mujer,13112,10019,3093,,,
10091. Santa María,2. Mujer trans/travesti,29,20,9,,,
10091. Santa María,3. Varón,12512,9253,3259,,,
10091. Santa María,4. Varón trans/masculinidad trans,16,11,5,,,
10091. Santa María,5. No binario,6,5,1,,,
10091. Santa María,6. Otra identidad/ninguna de las anteriores,9,7,2,,,
10091. Santa María,7. Prefiero no contestar,22,15,7,,,
10091. Santa María,9. Ignorado,1116,869,247,,,
10098. Santa Rosa,0. __tot__,13317,4792,8525,,,
10098. Santa Rosa,1. Mujer,6175,2326,3849,,,
10098. Santa Rosa,2. Mujer trans/travesti,18,5,13,,,
10098. Santa Rosa,3. Varón,6347,2227,4120,,,
10098. Santa Rosa,4. Varón trans/masculinidad trans,17,5,12,,,
10098. Santa Rosa,5. No binario,1,1,,,,
10098. Santa Rosa,6. Otra identidad/ninguna de las anteriores,5,2,3,,,
10098. Santa Rosa,7. Prefiero no contestar,5,4,1,,,
10098. Santa Rosa,9. Ignorado,749,222,527,,,
10105. Tinogasta,0. __tot__,25254,10767,14487,,,
10105. Tinogasta,1. Mujer,11923,5315,6608,,,
10105. Tinogasta,2. Mujer trans/travesti,40,12,28,,,
10105. Tinogasta,3. Varón,11699,4881,6818,,,
10105. Tinogasta,4. Varón trans/masculinidad trans,32,12,20,,,
10105. Tinogasta,5. No binario,8,3,5,,,
10105. Tinogasta,6. Otra identidad/ninguna de las anteriores,4,,4,,,
10105. Tinogasta,7. Prefiero no contestar,23,8,15,,,
10105. Tinogasta,9. Ignorado,1525,536,989,,,
10112. Valle Viejo,0. __tot__,33951,25942,8009,,,
10112. Valle Viejo,1. Mujer,16435,12741,3694,,,
10112. Valle Viejo,2. Mujer trans/travesti,25,14,11,,,
10112. Valle Viejo,3. Varón,15895,12004,3891,,,
10112. Valle Viejo,4. Varón trans/masculinidad trans,23,19,4,,,
10112. Valle Viejo,5. No binario,18,16,2,,,
10112. Valle Viejo,6. Otra identidad/ninguna de las anteriores,11,8,3,,,
10112. Valle Viejo,7. Prefiero no contestar,37,34,3,,,
10112. Valle Viejo,9. Ignorado,1507,1106,401,,,
14007. Calamuchita,0. __tot__,75462,53838,21624,,,
14007. Calamuchita,1. Mujer,34510,25187,9323,,,
14007. Calamuchita,2. Mujer trans/travesti,85,53,32,,,
14007. Calamuchita,3. Varón,33494,23871,9623,,,
14007. Calamuchita,4. Varón trans/masculinidad trans,124,82,42,,,
14007. Calamuchita,5. No binario,57,39,18,,,
14007. Calamuchita,6. Otra identidad/ninguna de las anteriores,37,24,13,,,
14007. Calamuchita,7. Prefiero no contestar,122,90,32,,,
14007. Calamuchita,9. Ignorado,7033,4492,2541,,,
14014. Capital,0. __tot__,1498060,1246571,251489,,,
14014. Capital,1. Mujer,722580,606625,115955,,,
14014. Capital,2. Mujer trans/travesti,1741,1348,393,,,
14014. Capital,3. Varón,651459,543344,108115,,,
14014. Capital,4. Varón trans/masculinidad trans,1788,1420,368,,,
14014. Capital,5. No binario,1442,1301,141,,,
14014. Capital,6. Otra identidad/ninguna de las anteriores,735,637,98,,,
14014. Capital,7. Prefiero no contestar,2709,2362,347,,,
14014. Capital,9. Ignorado,115606,89534,26072,,,
14021. Colón,0. __tot__,294511,230500,64011,,,
14021. Colón,1. Mujer,139149,110506,28643,,,
14021. Colón,2. Mujer trans/travesti,329,234,95,,,
14021. Colón,3. Varón,131088,102975,28113,,,
14021. Colón,4. Varón trans/masculinidad trans,319,224,95,,,
14021. Colón,5. No binario,200,136,64,,,
14021. Colón,6. Otra identidad/ninguna de las anteriores,105,76,29,,,
14021. Colón,7. Prefiero no contestar,444,353,91,,,
14021. Colón,9. Ignorado,22877,15996,6881,,,
14028. Cruz del Eje,0. __tot__,64748,33733,31015,,,
14028. Cruz del Eje,1. Mujer,30430,16567,13863,,,
14028. Cruz del Eje,2. Mujer trans/travesti,101,34,67,,,
14028. Cruz del Eje,3. Varón,28110,14579,13531,,,
14028. Cruz del Eje,4. Varón trans/masculinidad trans,54,21,33,,,
14028. Cruz del Eje,5. No binario,23,15,8,,,
14028. Cruz del Eje,6. Otra identidad/ninguna de las anteriores,17,10,7,,,
14028. Cruz del Eje,7. Prefiero no contestar,50,30,20,,,
14028. Cruz del Eje,9. Ignorado,5963,2477,3486,,,
14035. General Roca,0. __tot__,36064,29672,6392,,,
14035. General Roca,1. Mujer,17359,14502,2857,,,
14035. General Roca,2. Mujer trans/travesti,33,22,11,,,
14035. General Roca,3. Varón,17620,14307,3313,,,
14035. General Roca,4. Varón trans/masculinidad trans,5,4,1,,,
14035. General Roca,5. No binario,5,5,,,,
14035. General Roca,6. Otra identidad/ninguna de las anteriores,7,7,,,,
14035. General Roca,7. Prefiero no contestar,22,18,4,,,
14035. General Roca,9. Ignorado,1013,807,206,,,
14042. General San Martín,0. __tot__,152397,132246,20151,,,
14042. General San Martín,1. Mujer,73242,64082,9160,,,
14042. General San Martín,2. Mujer trans/travesti,185,158,27,,,
14042. General San Martín,3. Varón,68578,59562,9016,,,
14042. General San Martín,4. Varón trans/masculinidad trans,156,128,28,,,
14042. General San Martín,5. No binario,82,70,12,,,
14042. General San Martín,6. Otra identidad/ninguna de las anteriores,43,35,8,,,
14042. General San Martín,7. Prefiero no contestar,174,150,24,,,
14042. General San Martín,9. Ignorado,9937,8061,1876,,,
14049. Ischilín,0. __tot__,36023,22051,13972,,,
14049. Ischilín,1. Mujer,17492,11007,6485,,,
14049. Ischilín,2. Mujer trans/travesti,44,23,21,,,
14049. Ischilín,3. Varón,16449,9988,6461,,,
14049. Ischilín,4. Varón trans/masculinidad trans,16,9,7,,,
14049. Ischilín,5. No binario,7,5,2,,,
14049. Ischilín,6. Otra identidad/ninguna de las anteriores,9,6,3,,,
14049. Ischilín,7. Prefiero no contestar,26,18,8,,,
14049. Ischilín,9. Ignorado,1980,995,985,,,
14056. Juárez Celman,0. __tot__,68317,56903,11414,,,
14056. Juárez Celman,1. Mujer,32240,27134,5106,,,
14056. Juárez Celman,2. Mujer trans/travesti,83,66,17,,,
14056. Juárez Celman,3. Varón,31502,26209,5293,,,
14056. Juárez Celman,4. Varón trans/masculinidad trans,51,37,14,,,
14056. Juárez Celman,5. No binario,16,13,3,,,
14056. Juárez Celman,6. Otra identidad/ninguna de las anteriores,15,13,2,,,
14056. Juárez Celman,7. Prefiero no contestar,51,45,6,,,
14056. Juárez Celman,9. Ignorado,4359,3386,973,,,
14063. Marcos Juárez,0. __tot__,107286,90328,16958,,,
14063. Marcos Juárez,1. Mujer,52174,44222,7952,,,
14063. Marcos Juárez,2. Mujer trans/travesti,124,94,30,,,
14063. Marcos Juárez,3. Varón,49725,41816,7909,,,
14063. Marcos Juárez,4. Varón trans/masculinidad trans,84,67,17,,,
14063. Marcos Juárez,5. No binario,22,19,3,,,
14063. Marcos Juárez,6. Otra identidad/ninguna de las anteriores,29,22,7,,,
14063. Marcos Juárez,7. Prefiero no contestar,84,71,13,,,
14063. Marcos Juárez,9. Ignorado,5044,4017,1027,,,
14070. Minas,0. __tot__,4855,1649,3206,,,
14070. Minas,1. Mujer,2225,759,1466,,,
14070. Minas,2. Mujer trans/travesti,8,3,5,,,
14070. Minas,3. Varón,2299,761,1538,,,
14070. Minas,4. Varón trans/masculinidad trans,3,,3,,,
14070. Minas,5. No binario,1,1,,,,
14070. Minas,6. Otra identidad/ninguna de las anteriores,2,,2,,,
14070. Minas,7. Prefiero no contestar,1,1,,,,
14070. Minas,9. Ignorado,316,124,192,,,
14077. Pocho,0. __tot__,5070,1282,3788,,,
14077. Pocho,1. Mujer,2314,629,1685,,,
14077. Pocho,2. Mujer trans/travesti,12,3,9,,,
14077. Pocho,3. Varón,2385,559,1826,,,
14077. Pocho,4. Varón trans/masculinidad trans,6,2,4,,,
14077. Pocho,5. No binario,1,1,,,,
14077. Pocho,7. Prefiero no contestar,1,,1,,,
14077. Pocho,9. Ignorado,351,88,263,,,
14084. Presidente Roque Sáenz Peña,0. __tot__,37551,31660,5891,,,
14084. Presidente Roque Sáenz Peña,1. Mujer,18061,15357,2704,,,
14084. Presidente Roque Sáenz Peña,2. Mujer trans/travesti,32,26,6,,,
14084. Presidente Roque Sáenz Peña,3. Varón,17669,14870,2799,,,
14084. Presidente Roque Sáenz Peña,4. Varón trans/masculinidad trans,32,24,8,,,
14084. Presidente Roque Sáenz Peña,5. No binario,5,4,1,,,
14084. Presidente Roque Sáenz Peña,6. Otra identidad/ninguna de las anteriores,7,6,1,,,
14084. Presidente Roque Sáenz Peña,7. Prefiero no contestar,33,29,4,,,
14084. Presidente Roque Sáenz Peña,9. Ignorado,1712,1344,368,,,
14091. Punilla,0. __tot__,219494,165584,53910,,,
14091. Punilla,1. Mujer,105097,80567,24530,,,
14091. Punilla,2. Mujer trans/travesti,268,186,82,,,
14091. Punilla,3. Varón,95260,72000,23260,,,
14091. Punilla,4. Varón trans/masculinidad trans,283,201,82,,,
14091. Punilla,5. No binario,159,122,37,,,
14091. Punilla,6. Otra identidad/ninguna de las anteriores,102,76,26,,,
14091. Punilla,7. Prefiero no contestar,430,308,122,,,
14091. Punilla,9. Ignorado,17895,12124,5771,,,
14098. Río Cuarto,0. __tot__,277979,225769,52210,,,
14098. Río Cuarto,1. Mujer,135928,111631,24297,,,
14098. Río Cuarto,2. Mujer trans/travesti,271,206,65,,,
14098. Río Cuarto,3. Varón,125938,102158,23780,,,
14098. Río Cuarto,4. Varón trans/masculinidad trans,230,172,58,,,
14098. Río Cuarto,5. No binario,116,94,22,,,
14098. Río Cuarto,6. Otra identidad/ninguna de las anteriores,62,46,16,,,
14098. Río Cuarto,7. Prefiero no contestar,303,237,66,,,
14098. Río Cuarto,9. Ignorado,15131,11225,3906,,,
14105. Río Primero,0. __tot__,58181,42860,15321,,,
14105. Río Primero,1. Mujer,26093,19892,6201,,,
14105. Río Primero,2. Mujer trans/travesti,52,36,16,,,
14105. Río Primero,3. Varón,25088,18691,6397,,,
14105. Río Primero,4. Varón trans/masculinidad trans,57,27,30,,,
14105. Río Primero,5. No binario,23,20,3,,,
14105. Río Primero,6. Otra identidad/ninguna de las anteriores,23,13,10,,,
14105. Río Primero,7. Prefiero no contestar,50,39,11,,,
14105. Río Primero,9. Ignorado,6795,4142,2653,,,
14112. Río Seco,0. __tot__,15275,4827,10448,,,
14112. Río Seco,1. Mujer,7101,2363,4738,,,
14112. Río Seco,2. Mujer trans/travesti,16,,16,,,
14112. Río Seco,3. Varón,7076,2227,4849,,,
14112. Río Seco,4. Varón trans/masculinidad trans,8,1,7,,,
14112. Río Seco,5. No binario,6,1,5,,,
14112. Río Seco,6. Otra identidad/ninguna de las anteriores,2,1,1,,,
14112. Río Seco,7. Prefiero no contestar,8,4,4,,,
14112. Río Seco,9. Ignorado,1058,230,828,,,
14119. Río Segundo,0. __tot__,113311,91293,22018,,,
14119. Río Segundo,1. Mujer,54946,44819,10127,,,
14119. Río Segundo,2. Mujer trans/travesti,141,99,42,,,
14119. Río Segundo,3. Varón,51230,41381,9849,,,
14119. Río Segundo,4. Varón trans/masculinidad trans,91,66,25,,,
14119. Río Segundo,5. No binario,37,32,5,,,
14119. Río Segundo,6. Otra identidad/ninguna de las anteriores,25,18,7,,,
14119. Río Segundo,7. Prefiero no contestar,103,84,19,,,
14119. Río Segundo,9. Ignorado,6738,4794,1944,,,
14126. San Alberto,0. __tot__,42029,24014,18015,,,
14126. San Alberto,1. Mujer,19657,11488,8169,,,
14126. San Alberto,2. Mujer trans/travesti,61,34,27,,,
14126. San Alberto,3. Varón,18641,10560,8081,,,
14126. San Alberto,4. Varón trans/masculinidad trans,77,33,44,,,
14126. San Alberto,5. No binario,33,25,8,,,
14126. San Alberto,6. Otra identidad/ninguna de las anteriores,15,12,3,,,
14126. San Alberto,7. Prefiero no contestar,63,41,22,,,
14126. San Alberto,9. Ignorado,3482,1821,1661,,,
14133. San Javier,0. __tot__,62700,42087,20613,,,
14133. San Javier,1. Mujer,30769,21129,9640,,,
14133. San Javier,2. Mujer trans/travesti,92,61,31,,,
14133. San Javier,3. Varón,28132,18680,9452,,,
14133. San Javier,4. Varón trans/masculinidad trans,68,36,32,,,
14133. San Javier,5. No binario,48,32,16,,,
14133. San Javier,6. Otra identidad/ninguna de las anteriores,19,12,7,,,
14133. San Javier,7. Prefiero no contestar,92,63,29,,,
14133. San Javier,9. Ignorado,3480,2074,1406,,,
14140. San Justo,0. __tot__,228951,195640,33311,,,
14140. San Justo,1. Mujer,108600,94062,14538,,,
14140. San Justo,2. Mujer trans/travesti,241,193,48,,,
14140. San Justo,3. Varón,102793,88141,14652,,,
14140. San Justo,4. Varón trans/masculinidad trans,172,138,34,,,
14140. San Justo,5. No binario,77,61,16,,,
14140. San Justo,6. Otra identidad/ninguna de las anteriores,84,68,16,,,
14140. San Justo,7. Prefiero no contestar,183,154,29,,,
14140. San Justo,9. Ignorado,16801,12823,3978,,,
14147. Santa María,0. __tot__,139012,103234,35778,,,
14147. Santa María,1. Mujer,64717,48695,16022,,,
14147. Santa María,2. Mujer trans/travesti,130,86,44,,,
14147. Santa María,3. Varón,61202,45644,15558,,,
14147. Santa María,4. Varón trans/masculinidad trans,223,160,63,,,
14147. Santa María,5. No binario,99,61,38,,,
14147. Santa María,6. Otra identidad/ninguna de las anteriores,68,43,25,,,
