dataset_slug,source_item,row_variable,row_variable_label,column_variable,column_variable_label,area_break,dpto_code,dpto_name,category_label,p03_label,value_raw,value,temp_table_url
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,Varón,65 517,65517,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,Varón trans/masculinidad trans,324,324,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,No binario,282,282,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,Otra identidad/ninguna de las anteriores,161,161,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,Prefiero no contestar,509,509,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,Ignorado,9 176,9176,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Urbana,Total,160 609,160609,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Mujer,84 453,84453,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Mujer trans/travesti,187,187,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Varón,65 517,65517,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
